month,usd_ugx,E_IFEM_MR,E_OFF_MR,E_EP
1981-01,0.0759,,,
1981-02,0.078,,,
1981-03,0.0787,,,
1981-04,0.0796,,,
1981-05,0.0812,,,
1981-06,0.7675,,,
1981-07,0.7939,,,
1981-08,0.6166,,,
1981-09,0.8052,,,
1981-10,0.7913,,,
1981-11,0.7856,,,
1981-12,0.8556,,,
1982-01,0.8603,,,
1982-02,0.8599,,,
1982-03,0.8583,,,
1982-04,0.8594,,,
1982-05,0.8742,,,
1982-06,0.9417,,,
1982-07,0.9867,,,
1982-08,0.9916,,,
1982-09,0.9907,,,
1982-10,0.997,,,
1982-11,1.0174,,,
1982-12,1.0484,,,
1983-01,1.07,,,
1983-02,1.1197,,,
1983-03,1.1659,,,
1983-04,1.1966,,,
1983-05,1.2829,,,
1983-06,1.388,,,
1983-07,1.5514,,,
1983-08,1.6647,,,
1983-09,1.7628,,,
1983-10,1.856,,,
1983-11,2.0672,,,
1983-12,2.3381,,,
1984-01,2.4142,,,
1984-02,2.5332,,,
1984-03,2.7413,,,
1984-04,2.9206,,,
1984-05,2.9229,,,
1984-06,3.072,,,
1984-07,3.3809,,,
1984-08,3.7391,,,
1984-09,4.0,,,
1984-10,4.4568,,,
1984-11,5.4636,,,
1984-12,5.5157,,,
1985-01,5.3909,,,
1985-02,5.57,,,
1985-03,5.7881,,,
1985-04,5.9316,,,
1985-05,6.0045,,,
1985-06,6.0,,,
1985-07,6.0,,,
1985-08,6.0,,,
1985-09,6.0,,,
1985-10,6.8,,,
1985-11,8.7,,,
1985-12,12.75,,,
1986-01,14.79,,,14.0
1986-02,14.8,,,14.0
1986-03,14.8,,,14.0
1986-04,14.8,,,14.0
1986-05,14.0,,,14.0
1986-06,14.0,,,14.0
1986-07,14.0,,,14.0
1986-08,14.0,,,14.0
1986-09,14.0,,,14.0
1986-10,14.0,,,14.0
1986-11,14.0,,,14.0
1986-12,14.0,,,14.0
1987-01,14.0,,14.0,14.0
1987-02,14.0,,14.0,14.0
1987-03,14.0,,14.0,14.0
1987-04,14.0,,14.0,14.0
1987-05,60.0,,60.0,60.0
1987-06,60.0,,60.0,60.0
1987-07,60.0,,60.0,60.0
1987-08,60.0,,60.0,60.0
1987-09,60.0,,60.0,60.0
1987-10,60.0,,60.0,60.0
1987-11,60.0,,60.0,60.0
1987-12,60.0,,60.0,60.0
1988-01,60.0,,60.0,60.0
1988-02,60.0,,60.0,60.0
1988-03,60.0,,60.0,60.0
1988-04,60.0,,60.0,60.0
1988-05,60.0,,60.0,60.0
1988-06,60.0,,60.0,60.0
