district,county,subcounty,parish,household_pop,households,hh_size,n_radio,n_tv,n_computer,n_unimproved_water,n_improved_water,n_improved_sanitation,n_unimproved_sanitation,n_open_defecation,n_grid,n_solar,n_subsistence,n_pdm,sh_tv,sh_computer,sh_grid,sh_improved_water,sh_improved_sanitation,sh_subsistence,wealth_index
BUIKWE,BUIKWE COUNTY,BUIKWE,KITAZI,6037,1468,4.112397820163488,718,386,24,204,1264,928,518,22,415,431,502,47,0.26294277929155313,0.01634877384196185,0.2826975476839237,0.8610354223433242,0.6321525885558583,0.3419618528610354,-0.8349220462168094
BUIKWE,BUIKWE COUNTY,BUIKWE,MALONGWE,6550,1663,3.9386650631389055,875,490,31,147,1516,999,633,31,631,437,482,41,0.2946482260974143,0.018641010222489478,0.3794347564642213,0.9116055321707757,0.6007215874924835,0.2898376428141912,-0.6324598378779807
BUIKWE,BUIKWE COUNTY,BUIKWE,SSUGU,7195,1757,4.095048377916904,784,453,33,273,1484,842,816,99,516,522,542,92,0.2578258394991463,0.018782014797951052,0.29368241320432553,0.8446215139442231,0.479225953329539,0.30848036425725667,-0.9762181563433675
BUIKWE,BUIKWE COUNTY,BUIKWE TOWN COUNCIL,BUIKWE WARD,10406,2841,3.6627947905667018,1231,1157,62,221,2620,1921,906,14,1668,393,516,61,0.407250967969025,0.021823301654347062,0.587117212249208,0.9222104892643436,0.6761703625483985,0.1816261879619852,-0.06586836887053334
BUIKWE,BUIKWE COUNTY,BUIKWE TOWN COUNCIL,LWERU WARD,10094,2491,4.0521878763548775,1050,755,43,277,2214,1659,808,24,919,660,689,57,0.3030911280610197,0.017262143717382578,0.3689281413087114,0.8887996788438378,0.6659975913287837,0.2765957446808511,-0.5504150980132444
BUIKWE,BUIKWE COUNTY,KIYINDI TOWN COUNCIL,GOLI WARD,3061,755,4.054304635761589,301,171,7,341,414,354,359,42,146,301,280,56,0.22649006622516557,0.009271523178807948,0.19337748344370861,0.5483443708609271,0.4688741721854305,0.3708609271523179,-1.4881803734855839
BUIKWE,BUIKWE COUNTY,KIYINDI TOWN COUNCIL,KIYINDI WARD,11947,3622,3.2984538928768634,1250,1271,90,414,3208,2232,1317,73,1949,562,670,61,0.35091109884041966,0.02484815019326339,0.5381004969630039,0.8856985091109884,0.616234124792932,0.1849806736609608,-0.2742877163803669
BUIKWE,BUIKWE COUNTY,KIYINDI TOWN COUNCIL,ZZINGA WARD,6816,1675,4.0692537313432835,717,677,37,153,1522,918,723,34,775,424,355,66,0.40417910447761196,0.02208955223880597,0.4626865671641791,0.9086567164179105,0.5480597014925374,0.21194029850746268,-0.3722087742946461
BUIKWE,BUIKWE COUNTY,NAJJA,BUSAGAZI,4188,861,4.86411149825784,288,136,8,180,681,471,368,22,19,448,367,79,0.15795586527293845,0.009291521486643438,0.022067363530778164,0.7909407665505227,0.5470383275261324,0.4262485481997677,-1.4619410760109752
BUIKWE,BUIKWE COUNTY,NAJJA,GULAMA,4162,964,4.317427385892116,455,211,13,61,903,370,557,37,116,495,454,68,0.21887966804979253,0.013485477178423237,0.12033195020746888,0.9367219917012448,0.38381742738589214,0.470954356846473,-1.4545079907955138
BUIKWE,BUIKWE COUNTY,NAJJA,KISIIMBA,8528,2099,4.062887089090043,997,627,24,243,1856,925,1139,35,510,1052,495,90,0.29871367317770364,0.011434016198189614,0.2429728442115293,0.8842305859933302,0.4406860409718914,0.2358265840876608,-0.8658033048896143
BUIKWE,BUIKWE COUNTY,NAJJA,MAWOTTO,8174,1908,4.284067085953878,862,427,21,160,1748,1240,616,52,197,1016,667,69,0.22379454926624737,0.0110062893081761,0.10324947589098532,0.9161425576519916,0.649895178197065,0.34958071278826,-0.9549025381677733
BUIKWE,BUIKWE COUNTY,NAJJA,NAMATOVU,4325,1067,4.053420805998125,550,267,8,74,993,600,447,20,161,535,422,78,0.25023430178069356,0.007497656982193065,0.15089034676663543,0.9306466729147141,0.5623242736644799,0.39550140581068416,-1.068794192311296
BUIKWE,BUIKWE COUNTY,NAJJA,TUKULU,6467,1591,4.064739157762413,611,301,23,318,1273,593,920,78,146,749,550,61,0.1891891891891892,0.014456316781898177,0.0917661847894406,0.8001257071024512,0.3727215587680704,0.34569453174104336,-1.4381570067698106
BUIKWE,BUIKWE COUNTY,NGOGWE,DUNGI,9902,2547,3.8877110325873576,1384,791,46,308,2239,1279,1213,55,937,725,678,83,0.3105614448370632,0.018060463290145268,0.3678837848449156,0.8790734197094621,0.5021594032194739,0.2661955241460542,-0.7333105372365878
BUIKWE,BUIKWE COUNTY,NGOGWE,KIKWAYI,4787,1227,3.9013854930725347,627,334,14,94,1133,567,644,16,311,404,353,67,0.2722086389568052,0.011409942950285249,0.2534637326813366,0.9233903830480847,0.4621026894865526,0.28769356153219233,-0.9158192075994976
BUIKWE,BUIKWE COUNTY,NGOGWE,KIRINGO,7589,1923,3.9464378575143004,869,403,23,310,1613,727,1088,108,298,850,642,53,0.20956838273530942,0.011960478419136765,0.15496619864794592,0.8387935517420697,0.3780551222048882,0.3338533541341654,-1.314795482471841
BUIKWE,BUIKWE COUNTY,NGOGWE,LUBONGO,5329,1313,4.058644325971058,738,390,35,383,930,661,634,18,234,554,497,83,0.297029702970297,0.026656511805026657,0.1782178217821782,0.7083015993907082,0.5034272658035034,0.37852246763137853,-1.1983065605315142
BUIKWE,BUIKWE COUNTY,NGOGWE,NAMULESA,10033,2463,4.073487616727568,1423,931,61,332,2131,1538,905,20,973,828,741,64,0.37799431587494925,0.02476654486398701,0.3950466910272026,0.8652050345107593,0.6244417377182298,0.30085261875761266,-0.5371372144739703
BUIKWE,BUIKWE COUNTY,NGOGWE,NDOLWA,5547,1378,4.0253991291727145,738,422,33,253,1125,872,480,26,449,466,501,70,0.3062409288824383,0.023947750362844702,0.32583454281567487,0.816400580551524,0.6328011611030478,0.3635703918722787,-0.8120627386798996
BUIKWE,BUIKWE COUNTY,NKOKONJERU TOWN COUNCIL,BUKASA WARD,6919,1991,3.4751381215469612,859,905,67,217,1774,1523,465,3,1402,222,199,48,0.45454545454545453,0.03365143144148669,0.7041687594173782,0.8910095429432446,0.7649422400803616,0.09994977398292315,0.31237188610280914
BUIKWE,BUIKWE COUNTY,NKOKONJERU TOWN COUNCIL,MULAJJE WARD,3360,937,3.5859124866595518,426,306,12,88,849,543,378,16,338,263,217,67,0.3265741728922092,0.012806830309498399,0.3607257203842049,0.9060832443970117,0.5795090715048026,0.23159018143009605,-0.5522885662571535
BUIKWE,BUIKWE COUNTY,NKOKONJERU TOWN COUNCIL,NKOKONJERU WARD,3464,1038,3.3371868978805397,437,374,41,200,838,479,551,8,556,238,303,66,0.3603082851637765,0.0394990366088632,0.535645472061657,0.8073217726396917,0.4614643545279383,0.29190751445086704,-0.6722426122921902
BUIKWE,BUIKWE COUNTY,SSI,BBINGA,2862,721,3.969486823855756,390,169,7,306,415,305,406,10,51,367,224,64,0.23439667128987518,0.009708737864077669,0.07073509015256588,0.5755894590846047,0.42302357836338417,0.3106796116504854,-1.4907368486939907
BUIKWE,BUIKWE COUNTY,SSI,KIMERA,2084,520,4.007692307692308,261,107,9,159,361,154,351,15,57,237,185,78,0.20576923076923076,0.01730769230769231,0.10961538461538461,0.6942307692307692,0.29615384615384616,0.3557692307692308,-1.6069823694606742
BUIKWE,BUIKWE COUNTY,SSI,KOBA,7515,2277,3.300395256916996,773,692,47,498,1779,1310,476,491,694,823,434,86,0.3039086517347387,0.020641194554238032,0.30478700043917434,0.7812911725955204,0.575318401405358,0.19060166886253843,-0.6514649721863046
BUIKWE,BUIKWE COUNTY,SSI,LUGALA,5389,1401,3.846538187009279,697,365,27,279,1122,583,781,37,230,582,304,76,0.2605281941470378,0.019271948608137045,0.16416845110635261,0.8008565310492506,0.4161313347608851,0.21698786581013563,-1.0235337628829106
BUIKWE,BUIKWE COUNTY,SSI,LUGOBA,3977,1433,2.7752965806001395,554,248,19,494,939,756,439,238,3,757,398,57,0.17306350314026517,0.013258897418004187,0.00209351011863224,0.6552686671318911,0.5275645498953245,0.2777390090718772,-1.3488589517428018
