district,subcounty,parish,households
BUIKWE,KIYINDI TOWN COUNCIL,GOLI WARD,755
BUIKWE,KIYINDI TOWN COUNCIL,ZZINGA WARD,1675
KAMPALA,KAMPALA CENTRAL DIVISION,NAKIVUBO,356
KAMPALA,KAWEMPE DIVISION,KAZO-ANGOLA,6999
KAMPALA,KAWEMPE DIVISION,MUK - MULUKA I,404
KAMPALA,KAWEMPE DIVISION,MUK - MULUKA II,356
KAMPALA,KAWEMPE DIVISION,MUK - MULUKA III,62
KAMPALA,KAWEMPE DIVISION,MUK - MULUKA IV,276
KAMPALA,MAKINDYE DIVISION,KANSANGA,11086
KAMPALA,MAKINDYE DIVISION,MUYENGA,2445
KAMPALA,MAKINDYE DIVISION,NAMUWONGO,5703
KAMPALA,MAKINDYE DIVISION,NSAMBYA POLICE BARRACKS,20258
KAMPALA,NAKAWA DIVISION,KISWA,1597
LUWERO,BAMUNANIKA,KYAMPISI (BAMUNANIKA),2697
LUWERO,KAMIRA TOWN COUNCIL,BUWANUKA WARD,848
LUWERO,KAMIRA TOWN COUNCIL,KAMIRA WARD,1080
LUWERO,KAMIRA TOWN COUNCIL,MAKONKONYIGO WARD,839
LUWERO,KIKYUSA,KYAMPOGOLA,874
LUWERO,KIKYUSA TOWN COUNCIL,KIKYUSA WARD,4209
LUWERO,KIKYUSA TOWN COUNCIL,KIMAZI WARD,567
LUWERO,ZIROBWE TOWN COUNCIL,ZIROBWE CENTRAL WARD,1484
LUWERO,ZIROBWE TOWN COUNCIL,ZIROBWE EAST WARD,1004
LUWERO,ZIROBWE TOWN COUNCIL,ZIROBWE NORTH WARD,930
LUWERO,ZIROBWE TOWN COUNCIL,ZIROBWE WEST WARD,1016
LUWERO,BOMBO TOWN COUNCIL,BOMBO CENTRAL WARD,662
LUWERO,LUWEERO TOWN COUNCIL,KASANA P.W.D WARD,2376
LUWERO,NDEJJE TOWN COUNCIL,BUYEGO WARD,436
LUWERO,NDEJJE TOWN COUNCIL,NDEJJE WARD,1281
LUWERO,WOBULENZI TOWN COUNCIL,BUKALASA WARD,192
LUWERO,WOBULENZI TOWN COUNCIL,BUKOLWA WARD,1287
LUWERO,WOBULENZI TOWN COUNCIL,KATIKAMU WARD,1487
LUWERO,WOBULENZI TOWN COUNCIL,WOBULENZI CENTRAL WARD,1783
LUWERO,WOBULENZI TOWN COUNCIL,WOBULENZI EAST WARD,3737
LUWERO,WOBULENZI TOWN COUNCIL,WOBULENZI WEST WARD,1832
MPIGI,KIRINGENTE,KIRINGENTE,980
MPIGI,KITUNTU,KAGENDA,1886
MUKONO,KATOSI TOWN COUNCIL,KALENGERA WARD,798
MUKONO,KATOSI TOWN COUNCIL,KATOSI WARD,3227
MUKONO,KATOSI TOWN COUNCIL,LUGAZI WARD,1606
MUKONO,NTENJERU-KISOGA TOWN COUNCIL,KISOGA WARD,4181
MUKONO,NTENJERU-KISOGA TOWN COUNCIL,MAZIBA WARD,386
MUKONO,NTENJERU-KISOGA TOWN COUNCIL,MPUMU WARD,902
MUKONO,NTENJERU-KISOGA TOWN COUNCIL,NTENJERU-NTANZI WARD,2018
MUKONO,KASAWO TOWN COUNCIL,KASAWO WARD,729
MUKONO,KASAWO TOWN COUNCIL,KASENGE WARD,1262
MUKONO,KASAWO TOWN COUNCIL,KITALE WARD,1908
MUKONO,NAKIFUMA-NAGGALAMA TOWN COUNCIL,BAMUSUUTA-RURAL WARD,2064
MUKONO,NAKIFUMA-NAGGALAMA TOWN COUNCIL,BANDAALI WARD,1821
MUKONO,NAKIFUMA-NAGGALAMA TOWN COUNCIL,BUBIRO WARD,1246
MUKONO,NAKIFUMA-NAGGALAMA TOWN COUNCIL,KIGAGA-JOMAYI WARD,1207
MUKONO,NAKIFUMA-NAGGALAMA TOWN COUNCIL,NABALANGA RURAL WARD,1291
MUKONO,NAKIFUMA-NAGGALAMA TOWN COUNCIL,NAKANYONYI-NABBALE WARD,2357
MUKONO,NAKIFUMA-NAGGALAMA TOWN COUNCIL,NAKIFUMA WARD,2643
MUKONO,NAKIFUMA-NAGGALAMA TOWN COUNCIL,NANKULABYE WARD,1061
MUKONO,NAMATABA TOWN COUNCIL,NAMAGUNGA ANNEX WARD,656
WAKISO,BUSSI,BUSSI/KISABA,891
WAKISO,KAJJANSI TOWN COUNCIL,NSANGU WARD,2150
WAKISO,KYENGERA TOWN COUNCIL,KISOZI WARD,10406
WAKISO,MASULIITA,BBAALE,483
WAKISO,GOMBE DIVISION,JAGGALA WARD,3134
WAKISO,NANSANA DIVISION,NANSANA 7/8 OCHIENG WARD,9173
