subregion,households,wealth_mean,unhs_median,check_hh_weighted_geomean
Acholi,417503.0,-0.07722754484276705,105000.0,105000
Ankole,842783.0,0.5798069203783596,195000.0,195000
Buganda North,1276873.0,1.1496185498221634,208000.0,208000
Buganda South,1617903.0,2.3506274130085116,302000.0,302000
Bukedi,503727.0,-0.1216535990404284,174000.0,174000
Bunyoro,703604.0,0.21624905758352048,250000.0,250000
Busoga,965299.0,0.34933699652904737,136000.0,136000
Elgon,526694.0,0.07538259824813986,192000.0,192000
Kampala,529057.0,3.858557890862257,667000.0,667000
Karamoja,294653.0,-0.8522019317395242,99000.0,99000
Kigezi,333164.0,0.18414546462394432,133000.0,133000
Lango,575559.0,-0.2824158966085549,72000.0,72000
Teso,459109.0,-0.3028146625080452,263000.0,263000
Tooro,736138.0,0.2009084153038112,145000.0,145000
West Nile,715550.0,-0.3709335718116124,152000.0,152000
