fy,quarter,period_start,area,rppi
2015/16,Q1,2015-07-01,Wakiso,100.0
2015/16,Q2,2015-10-01,Wakiso,100.0
2015/16,Q3,2016-01-01,Wakiso,100.0
2015/16,Q4,2016-04-01,Wakiso,100.0
2016/17,Q1,2016-07-01,Wakiso,95.602
2016/17,Q2,2016-10-01,Wakiso,77.11
2016/17,Q3,2017-01-01,Wakiso,76.721
2016/17,Q4,2017-04-01,Wakiso,83.938
2017/18,Q1,2017-07-01,Wakiso,93.943
2017/18,Q2,2017-10-01,Wakiso,86.667
2017/18,Q3,2018-01-01,Wakiso,82.479
2017/18,Q4,2018-04-01,Wakiso,96.435
2018/19,Q1,2018-07-01,Wakiso,95.965
2018/19,Q2,2018-10-01,Wakiso,100.604
2018/19,Q3,2019-01-01,Wakiso,84.253
2018/19,Q4,2019-04-01,Wakiso,91.369
2019/20,Q1,2019-07-01,Wakiso,93.106
2019/20,Q2,2019-10-01,Wakiso,94.068
2019/20,Q3,2020-01-01,Wakiso,97.047
2019/20,Q4,2020-04-01,Wakiso,96.062
2020/21,Q1,2020-07-01,Wakiso,105.186
2020/21,Q2,2020-10-01,Wakiso,114.573
2020/21,Q3,2021-01-01,Wakiso,90.113
2020/21,Q4,2021-04-01,Wakiso,98.082
2021/22,Q1,2021-07-01,Wakiso,89.775
2021/22,Q2,2021-10-01,Wakiso,91.021
2021/22,Q3,2022-01-01,Wakiso,88.443
2021/22,Q4,2022-04-01,Wakiso,101.169
2022/23,Q1,2022-07-01,Wakiso,96.901
2022/23,Q2,2022-10-01,Wakiso,92.784
2022/23,Q3,2023-01-01,Wakiso,90.409
2022/23,Q4,2023-04-01,Wakiso,94.552
2023/24,Q1,2023-07-01,Wakiso,95.67
2023/24,Q2,2023-10-01,Wakiso,95.56
2023/24,Q3,2024-01-01,Wakiso,95.775
2023/24,Q4,2024-04-01,Wakiso,96.697
2024/25,Q1,2024-07-01,Wakiso,95.208
2024/25,Q2,2024-10-01,Wakiso,96.49
2024/25,Q3,2025-01-01,Wakiso,98.298
2024/25,Q4,2025-04-01,Wakiso,105.034
2025/26,Q1,2025-07-01,Wakiso,112.657
2025/26,Q2,2025-10-01,Wakiso,112.845
2025/26,Q3,2026-01-01,Wakiso,110.858
2025/26,Q4,2026-04-01,Wakiso,108.645
2015/16,Q1,2015-07-01,Kampala Central & Makindye,100.0
