name,district,lat,lon,osm_lat,osm_lon,osm_name,distance_km,check
Kololo,Kampala,0.331,32.595,0.3341117,32.5933374,"Kololo, Central, Kampala Capital City, Kampala, Central Region, Uganda",0.39229632205223364,ok
Nakasero,Kampala,0.323,32.58,0.3240394,32.581339,"Nakasero, Central, Kampala Capital City, Kampala, Central Region, Uganda",0.18848167801364635,ok
Old Kampala,Kampala,0.315,32.568,0.3169925,32.568594,"Old Kampala, Kisenyi, Central, Kampala Capital City, Kampala, Central Region, Uganda",0.23119138265471542,ok
Kamwokya,Kampala,0.338,32.585,0.3437583,32.5900635,"Kamwokya, Kololo, Central, Kampala Capital City, Kampala, Central Region, Uganda",0.8526277241566169,ok
Kisenyi,Kampala,0.31,32.57,0.311944,32.5692176,"Kisenyi, Central, Kampala Capital City, Kampala, Central Region, Uganda",0.23301288459149933,ok
Kampala CBD,Kampala,0.3136,32.5825,,,,,OSM not found
Mengo,Kampala,0.303,32.566,0.3100919,32.555673,"Mengo, Rubaga, Kampala Capital City, Kampala, Central Region, Uganda",1.3929977091902788,ok
Bugolobi,Kampala,0.318,32.615,0.3138978,32.6220405,"Bugolobi, Nakawa, Kampala Capital City, Kampala, Central Region, Uganda",0.9060521132659258,ok
Naguru,Kampala,0.345,32.605,0.3419051,32.6063658,"Naguru, Nakawa, Kampala Capital City, Kampala, Central Region, Uganda",0.3761569720525532,ok
Ntinda,Kampala,0.354,32.615,0.3544278,32.6136382,"Ntinda, Nakawa, Kampala Capital City, Kampala, Central Region, Uganda",0.1587184903609747,ok
Kiwatule,Kampala,0.37,32.625,0.3727406,32.6298641,"Kiwatule, Kampala, Central Region, Uganda",0.6207961123655089,ok
Kisaasi,Kampala,0.365,32.598,0.3628952,32.5997337,"Kisaasi, Nakawa, Kampala Capital City, Kampala, Central Region, Uganda",0.30321322790320654,ok
Kyanja,Kampala,0.39,32.595,0.3951672,32.5948028,"Kyanja, Nakawa, Kampala Capital City, Kampala, Central Region, Uganda",0.5749846743932231,ok
Bukoto,Kampala,0.348,32.595,0.3542425,32.6007307,"Bukoto, Nakawa, Kampala Capital City, Kampala, Central Region, Uganda",0.9422647667730083,ok
Nakawa,Kampala,0.33,32.615,0.3291976,32.6150131,"Nakawa, Kampala Capital City, Kampala, Central Region, Uganda",0.08923469863178915,ok
Mbuya,Kampala,0.325,32.625,0.3226353,32.6265931,"Mbuya, Nakawa, Kampala Capital City, Kampala, Central Region, Uganda",0.31704581138396776,ok
