name,falls_in_parish,namesake_parish,km_to_namesake
Kamwokya,Kololo Iii,"Kamwokya Ii, Kamwokya I",0.09
Mengo,Ndeeba,Mengo,0.07
Nakawa,Nakawa Institution,Nakawa,0.04
Luzira,Luzira Prisons,Luzira,0.42
Kyambogo,Upper Estate,Kyambogo,0.59
Banda,Kireka,Banda,0.06
Kabalagala,Nsambya Central,Kabalagala,0.07
Makindye,Lukuli,"Makindye I, Makindye Ii",0.09
Kibuye,Ndeeba,"Kibuye Ii, Kibuye I",0.09
Lukuli,Makindye I,Lukuli,0.34
Ndeeba,Rubaga,Ndeeba,0.01
Kasubi,Nakulabye,Kasubi,0.15
Kawempe,Kyebando,"Kawempe I, Kawempe Ii",0.5
Wandegeya,Makerere University,Wandegeya,0.06
Makerere,Makerere University,"Makerere Ii, Makerere I, Makerere Iii",0.42
Kikaaya,Komamboga,Kikaaya,0.97
Mpererwe,Komamboga,Mpererwe,0.49
Gayaza,Bulamu,Gayaza,0.31
Buloba,Nabbingo,Buloba,1.74
Namasuba,Bunamwaya,Namasuba,0.02
Seeta,Nyenje Ward,Seeta Ward,0.08
Lugazi,Kabowa,Lugazi Central,0.05
Busabala,Salaama,Busabala,0.87
Nampunge,Namusera,Nampunge,15.57
