name,aliases,district,division_or_town,lat,lon,coord_source,verified,note,level,check_status
Kololo,Kololo Hill;Acacia Avenue;Acacia;Elizabeth Avenue;Elizabethavenue,Kampala,Central,0.33057,32.59247,ubos_parish_2016,0,"placed on UBOS parish Kololo Iii, Kololo Iv, Kololo Ii, Kololo I (moved 0.0 km)",neighbourhood,ubos_official
Nakasero,Nakasero Hill,Kampala,Central,0.31946,32.57872,ubos_parish_2016,0,"placed on UBOS parish Nakasero Iv, Nakasero Iii, Nakasero Ii, Nakasero I (moved 0.0 km)",neighbourhood,ubos_official
Old Kampala,,Kampala,Central,0.31756,32.56862,ubos_parish_2016,0,placed on UBOS parish Old Kampala (moved 0.0 km),neighbourhood,ubos_official
Kamwokya,Kamwokya II,Kampala,Central,0.34341,32.59054,ubos_parish_2016,0,"placed on UBOS parish Kamwokya Ii, Kamwokya I (moved 0.0 km)",neighbourhood,ubos_official
Kisenyi,,Kampala,Central,0.30732,32.57335,ubos_parish_2016,0,"placed on UBOS parish Kisenyi Ii, Kisenyi  Iii, Kisenyi I (moved 0.0 km)",neighbourhood,ubos_official
Kampala CBD,Kampala Central;City Centre;Town;CBD,Kampala,Central,0.3136,32.5825,draft_approx,0,not in OSM - please verify,neighbourhood,needs_review
Mengo,,Kampala,Rubaga,0.30906,32.56648,ubos_parish_2016,0,placed on UBOS parish Mengo (moved 0.0 km),neighbourhood,ubos_official
Bugolobi,Bugoloobi,Kampala,Nakawa,0.30957,32.62182,ubos_parish_2016,0,placed on UBOS parish Bugolobi (moved 0.0 km),neighbourhood,ubos_official
Naguru,Naguru Hill;Naguri,Kampala,Nakawa,0.33596,32.60636,ubos_parish_2016,0,"placed on UBOS parish Naguru I, Naguru Ii (moved 0.0 km)",neighbourhood,ubos_official
Ntinda,Ntinda Kigoowa,Kampala,Nakawa,0.34558,32.61817,ubos_parish_2016,0,placed on UBOS parish Ntinda (moved 0.0 km),neighbourhood,ubos_official
Kiwatule,Kiwaatule,Kampala,Nakawa,0.3679,32.62721,ubos_parish_2016,0,placed on UBOS parish Kiwatule (moved 0.0 km),neighbourhood,ubos_official
Kisaasi,Kisasi,Kampala,Nakawa,0.365,32.598,draft; OSM within 2 km,0,,neighbourhood,osm_agrees
Kyanja,,Kampala,Nakawa,0.38626,32.60105,ubos_parish_2016,0,placed on UBOS parish Kyanja (moved 0.0 km),neighbourhood,ubos_official
Bukoto,,Kampala,Nakawa,0.35891,32.60473,ubos_parish_2016,0,"placed on UBOS parish Bukoto Ii, Bukoto I (moved 0.0 km)",neighbourhood,ubos_official
Nakawa,,Kampala,Nakawa,0.32751,32.61227,ubos_parish_2016,0,placed on UBOS parish Nakawa (moved 0.0 km),neighbourhood,ubos_official
Mbuya,,Kampala,Nakawa,0.32733,32.6295,ubos_parish_2016,0,"placed on UBOS parish Mbuya I, Mbuya Ii (moved 0.0 km)",neighbourhood,ubos_official
Luzira,,Kampala,Nakawa,0.2864,32.65331,ubos_parish_2016,0,placed on UBOS parish Luzira (moved 0.0 km),neighbourhood,ubos_official
Kyambogo,,Kampala,Nakawa,0.34234,32.62978,ubos_parish_2016,0,placed on UBOS parish Kyambogo (moved 0.0 km),neighbourhood,ubos_official
Banda,,Kampala,Nakawa,0.34657,32.63752,ubos_parish_2016,0,placed on UBOS parish Banda (moved 0.0 km),neighbourhood,ubos_official
Butabika,,Kampala,Nakawa,0.3142,32.66008,ubos_parish_2016,0,placed on UBOS parish Butabika (moved 0.0 km),neighbourhood,ubos_official
Kulambiro,,Kampala,Nakawa,0.378,32.615,draft; OSM within 2 km,0,,neighbourhood,osm_agrees
Kigoowa,Kigowa,Kampala,Nakawa,0.365,32.62,draft; OSM within 2 km,0,,neighbourhood,osm_agrees
Mutungo,,Kampala,Nakawa,0.31757,32.64194,ubos_parish_2016,0,placed on UBOS parish Mutungo (moved 0.0 km),neighbourhood,ubos_official
Kitintale,,Kampala,Nakawa,0.31,32.62,draft; OSM within 2 km,0,,neighbourhood,osm_agrees
Muyenga,Tank Hill;Muyenga Tank Hill,Kampala,Makindye,0.296,32.61,draft; OSM within 2 km,0,,neighbourhood,osm_agrees
Kansanga,,Kampala,Makindye,0.288,32.608,draft; OSM within 2 km,0,,neighbourhood,osm_agrees
Kabalagala,,Kampala,Makindye,0.30145,32.59927,ubos_parish_2016,0,placed on UBOS parish Kabalagala (moved 0.0 km),neighbourhood,ubos_official
Ggaba,Gaba,Kampala,Makindye,0.26007,32.6403,ubos_parish_2016,0,placed on UBOS parish Ggaba (moved 0.0 km),neighbourhood,ubos_official
Munyonyo,Muyonyoyo,Kampala,Makindye,0.25,32.62,draft; OSM within 2 km,0,,neighbourhood,osm_agrees
Makindye,Makyinde,Kampala,Makindye,0.28419,32.58293,ubos_parish_2016,0,"placed on UBOS parish Makindye I, Makindye Ii (moved 0.0 km)",neighbourhood,ubos_official
Nsambya,,Kampala,Makindye,0.3006,32.58966,ubos_parish_2016,0,placed on UBOS parish Nsambya Central (moved 0.0 km),neighbourhood,ubos_official
Kibuye,,Kampala,Makindye,0.29199,32.57498,ubos_parish_2016,0,"placed on UBOS parish Kibuye Ii, Kibuye I (moved 0.0 km)",neighbourhood,ubos_official
Katwe,,Kampala,Makindye,0.29945,32.57755,ubos_parish_2016,0,"placed on UBOS parish Katwe Ii, Katwe I (moved 0.0 km)",neighbourhood,ubos_official
Lukuli,,Kampala,Makindye,0.27545,32.60411,ubos_parish_2016,0,placed on UBOS parish Lukuli (moved 0.0 km),neighbourhood,ubos_official
Kibuli,,Kampala,Makindye,0.30902,32.59572,ubos_parish_2016,0,placed on UBOS parish Kibuli (moved 0.0 km),neighbourhood,ubos_official
