unit_id,unit_name,DName2016,median,q25,q75,n
Wakiso/Gombe Division,Gombe Division,Wakiso,,100000.0,100000.0,1.0
Wakiso/Nabweru Division,Nabweru Division,Wakiso,,,,
Wakiso/Kasangati Town Council,Kasangati Town Council,Wakiso,350000.0,300000.0,450000.0,56.0
Wakiso/Ndejje Division,Ndejje Division,Wakiso,650000.0,500000.0,1233333.3333333333,41.0
Wakiso/Division A,Division A,Wakiso,1248750.0,500000.0,1850000.0,21.0
Wakiso/Division B,Division B,Wakiso,,,,
Wakiso/Kakiri,Kakiri,Wakiso,,,,
Wakiso/Kakiri Town Council,Kakiri Town Council,Wakiso,,,,
Wakiso/Kasanje,Kasanje,Wakiso,,337500.0,2175000.0,3.0
Mukono/Nakisunga,Nakisunga,Mukono,,,,
Mukono/Nagojje,Nagojje,Mukono,,,,
Mukono/Kyampisi,Kyampisi,Mukono,,,,
Wakiso/Masuliita,Masuliita,Wakiso,,,,
Wakiso/Masulita Town Council,Masulita Town Council,Wakiso,,,,
Wakiso/Mende,Mende,Wakiso,,,,
Wakiso/Namayumba Town Council,Namayumba Town Council,Wakiso,,,,
Wakiso/Kyengera Town Council,Kyengera Town Council,Wakiso,,231250.0,325000.0,6.0
Wakiso/Wakiso,Wakiso,Wakiso,,231250.0,343750.0,2.0
Wakiso/Wakiso Town Council,Wakiso Town Council,Wakiso,500000.0,375000.0,750000.0,57.0
Wakiso/Kira Division,Kira Division,Wakiso,587500.0,466666.6666666667,750000.0,424.0
Wakiso/Kajjansi Town Council,Kajjansi Town Council,Wakiso,,500000.0,712500.0,10.0
Buikwe/Wakisi Division,Wakisi Division,Buikwe,,,,
Mukono/Ntunda,Ntunda,Mukono,,,,
Mpigi/Kammengo,Kammengo,Mpigi,,,,
Mpigi/Mpigi Town Council,Mpigi Town Council,Mpigi,,,,
Mpigi/Muduuma,Muduuma,Mpigi,,,,
Mpigi/Kiringente,Kiringente,Mpigi,,,,
Wakiso/Busukuma Division,Busukuma Division,Wakiso,,,,
Mukono/Goma Division,Goma Division,Mukono,300000.0,250000.0,350000.0,63.0
Mukono/Nabbaale,Nabbaale,Mukono,,,,
Mukono/Seeta Namuganga,Seeta Namuganga,Mukono,,,,
Buikwe/Buikwe,Buikwe,Buikwe,,,,
Buikwe/Ssi-Bukunja,Ssi-Bukunja,Buikwe,,,,
Buikwe/Ngogwe,Ngogwe,Buikwe,,,,
Buikwe/Najja,Najja,Buikwe,,,,
Buikwe/Nyenga Division,Nyenga Division,Buikwe,,,,
Wakiso/Namayumba,Namayumba,Wakiso,,,,
Mukono/Kimenyedde,Kimenyedde,Mukono,,,,
Luwero/Makulubita,Makulubita,Luwero,,,,
Luwero/Luwero,Luwero,Luwero,,,,
Luwero/Kikyusa,Kikyusa,Luwero,,,,
Luwero/Zirobwe,Zirobwe,Luwero,,,,
Luwero/Katikamu,Katikamu,Luwero,,,,
Luwero/Wobulenzi Town Council,Wobulenzi Town Council,Luwero,,,,
Luwero/Bamunanika,Bamunanika,Luwero,,,,
Luwero/Nyimbwa,Nyimbwa,Luwero,,,,
Luwero/Kalagala,Kalagala,Luwero,,,,
Luwero/Bombo Town Council,Bombo Town Council,Luwero,,1295000.0,1295000.0,1.0
Luwero/Butuntumula,Butuntumula,Luwero,,,,
Luwero/Kamira,Kamira,Luwero,,,,
Mukono/Mpatta,Mpatta,Mukono,,,,
Wakiso/Katabi  Town Council,Katabi  Town Council,Wakiso,795000.0,500000.0,1375000.0,21.0
Luwero/Luwero Town Council,Luwero Town Council,Luwero,,,,
Buikwe/Buikwe Town Council,Buikwe Town Council,Buikwe,,,,
Buikwe/Kawolo Division,Kawolo Division,Buikwe,,,,
Buikwe/Central Division,Central Division,Buikwe,,,,
Buikwe/Najjembe Division,Najjembe Division,Buikwe,,,,
Buikwe/Njeru Division,Njeru Division,Buikwe,,,,
Buikwe/Nkokonjeru Town Council,Nkokonjeru Town Council,Buikwe,,,,
Mpigi/Buwama,Buwama,Mpigi,,,,
Wakiso/Bussi,Bussi,Wakiso,,,,
Mpigi/Kituntu,Kituntu,Mpigi,,,,
Mpigi/Nkozi,Nkozi,Mpigi,,,,
Mukono/Mpunge,Mpunge,Mukono,,,,
Mukono/Nama,Nama,Mukono,,,,
Mukono/Ntenjeru,Ntenjeru,Mukono,,,,
Mukono/Central Division,Central Division,Mukono,250000.0,218750.0,312500.0,20.0
Mukono/Kasawo,Kasawo,Mukono,,,,
Wakiso/Nansana Division,Nansana Division,Wakiso,,175000.0,337500.0,6.0
Wakiso/Bunamwaya Division,Bunamwaya Division,Wakiso,625000.0,575000.0,1271875.0,32.0
Wakiso/Masajja Division,Masajja Division,Wakiso,,250000.0,800000.0,9.0
Wakiso/Bweyogerere Division,Bweyogerere Division,Wakiso,400000.0,300000.0,475000.0,49.0
Wakiso/Namugongo Division,Namugongo Division,Wakiso,450000.0,350000.0,600000.0,436.0
Mukono/Koome Island,Koome Island,Mukono,,,,
Kampala/Kawempe Division,Kawempe Division,Kampala,700000.0,427083.3333333333,1000000.0,214.0
Kampala/Nakawa Division,Nakawa Division,Kampala,1110000.0,700000.0,2100000.0,934.0
Kampala/Makindye Division,Makindye Division,Kampala,750000.0,533333.3333333334,1202500.0,553.0
Kampala/Rubaga Division,Rubaga Division,Kampala,490000.0,350000.0,700000.0,53.0
Kampala/Central Division,Central Division,Kampala,2220000.0,750000.0,3500000.0,389.0
