unit_id,unit_name,DName2016,median,q25,q75,n
Wakiso/Gombe Division,Gombe Division,Wakiso,120000000.0,46000000.0,195000000.0,83.0
Wakiso/Nabweru Division,Nabweru Division,Wakiso,,,,
Wakiso/Kasangati Town Council,Kasangati Town Council,Wakiso,235000000.0,153750000.0,400000000.0,152.0
Wakiso/Ndejje Division,Ndejje Division,Wakiso,670000000.0,265000000.0,1297500000.0,127.0
Wakiso/Division A,Division A,Wakiso,750000000.0,450000000.0,1476300000.0,57.0
Wakiso/Division B,Division B,Wakiso,,,,
Wakiso/Kakiri,Kakiri,Wakiso,,23000000.0,23000000.0,1.0
Wakiso/Kakiri Town Council,Kakiri Town Council,Wakiso,,75750000.0,500000000.0,8.0
Wakiso/Kasanje,Kasanje,Wakiso,,145000000.0,202500000.0,3.0
Mukono/Nakisunga,Nakisunga,Mukono,,185000000.0,5940000000.0,3.0
Mukono/Nagojje,Nagojje,Mukono,,,,
Mukono/Kyampisi,Kyampisi,Mukono,,105000000.0,432500000.0,6.0
Wakiso/Masuliita,Masuliita,Wakiso,,,,
Wakiso/Masulita Town Council,Masulita Town Council,Wakiso,,65000000.0,65000000.0,1.0
Wakiso/Mende,Mende,Wakiso,,,,
Wakiso/Namayumba Town Council,Namayumba Town Council,Wakiso,,15000000.0,15000000.0,1.0
Wakiso/Kyengera Town Council,Kyengera Town Council,Wakiso,150000000.0,90000000.0,275000000.0,25.0
Wakiso/Wakiso,Wakiso,Wakiso,105000000.0,65000000.0,170000000.0,30.0
Wakiso/Wakiso Town Council,Wakiso Town Council,Wakiso,300000000.0,140000000.0,650000000.0,362.0
Wakiso/Kira Division,Kira Division,Wakiso,530000000.0,360000000.0,800000000.0,715.0
Wakiso/Kajjansi Town Council,Kajjansi Town Council,Wakiso,550000000.0,400000000.0,950000000.0,314.0
Buikwe/Wakisi Division,Wakisi Division,Buikwe,,,,
Mukono/Ntunda,Ntunda,Mukono,,,,
Mpigi/Kammengo,Kammengo,Mpigi,,,,
Mpigi/Mpigi Town Council,Mpigi Town Council,Mpigi,,120000000.0,750000000.0,9.0
Mpigi/Muduuma,Muduuma,Mpigi,,,,
Mpigi/Kiringente,Kiringente,Mpigi,,290000000.0,290000000.0,1.0
Wakiso/Busukuma Division,Busukuma Division,Wakiso,,133750000.0,290000000.0,16.0
Mukono/Goma Division,Goma Division,Mukono,250000000.0,163750000.0,350000000.0,176.0
Mukono/Nabbaale,Nabbaale,Mukono,,600000000.0,600000000.0,1.0
Mukono/Seeta Namuganga,Seeta Namuganga,Mukono,,,,
Buikwe/Buikwe,Buikwe,Buikwe,,,,
Buikwe/Ssi-Bukunja,Ssi-Bukunja,Buikwe,,,,
Buikwe/Ngogwe,Ngogwe,Buikwe,,,,
Buikwe/Najja,Najja,Buikwe,,,,
Buikwe/Nyenga Division,Nyenga Division,Buikwe,,,,
Wakiso/Namayumba,Namayumba,Wakiso,,,,
Mukono/Kimenyedde,Kimenyedde,Mukono,,,,
Luwero/Makulubita,Makulubita,Luwero,,300000000.0,300000000.0,2.0
Luwero/Luwero,Luwero,Luwero,,,,
Luwero/Kikyusa,Kikyusa,Luwero,,,,
Luwero/Zirobwe,Zirobwe,Luwero,,,,
Luwero/Katikamu,Katikamu,Luwero,,,,
Luwero/Wobulenzi Town Council,Wobulenzi Town Council,Luwero,,,,
Luwero/Bamunanika,Bamunanika,Luwero,,,,
Luwero/Nyimbwa,Nyimbwa,Luwero,,,,
Luwero/Kalagala,Kalagala,Luwero,,132500000.0,250000000.0,6.0
Luwero/Bombo Town Council,Bombo Town Council,Luwero,,46000000.0,52000000.0,2.0
Luwero/Butuntumula,Butuntumula,Luwero,,,,
Luwero/Kamira,Kamira,Luwero,,,,
Mukono/Mpatta,Mpatta,Mukono,,,,
Wakiso/Katabi  Town Council,Katabi  Town Council,Wakiso,450000000.0,300000000.0,762500000.0,48.0
