unit_id,unit_name,DName2016,median,q25,q75,n
Wakiso/Gombe Division,Gombe Division,Wakiso,40000000.0,21583333.333333336,65000000.0,83.0
Wakiso/Nabweru Division,Nabweru Division,Wakiso,,,,
Wakiso/Kasangati Town Council,Kasangati Town Council,Wakiso,72916666.66666666,50000000.0,107857142.85714287,152.0
Wakiso/Ndejje Division,Ndejje Division,Wakiso,212500000.0,90000000.0,316041666.6666666,127.0
Wakiso/Division A,Division A,Wakiso,172666666.66666666,112983333.33333334,250000000.0,55.0
Wakiso/Division B,Division B,Wakiso,,,,
Wakiso/Kakiri,Kakiri,Wakiso,,23000000.0,23000000.0,1.0
Wakiso/Kakiri Town Council,Kakiri Town Council,Wakiso,,27000000.0,147500000.0,8.0
Wakiso/Kasanje,Kasanje,Wakiso,,58125000.0,85000000.0,3.0
Mukono/Nakisunga,Nakisunga,Mukono,,38750000.0,5820000000.0,3.0
Mukono/Nagojje,Nagojje,Mukono,,,,
Mukono/Kyampisi,Kyampisi,Mukono,,30833333.333333332,93750000.0,6.0
Wakiso/Masuliita,Masuliita,Wakiso,,,,
Wakiso/Masulita Town Council,Masulita Town Council,Wakiso,,21666666.666666668,21666666.666666668,1.0
Wakiso/Mende,Mende,Wakiso,,,,
Wakiso/Namayumba Town Council,Namayumba Town Council,Wakiso,,7500000.0,7500000.0,1.0
Wakiso/Kyengera Town Council,Kyengera Town Council,Wakiso,37500000.0,30000000.0,68750000.0,25.0
Wakiso/Wakiso,Wakiso,Wakiso,52500000.0,29250000.0,79000000.0,30.0
Wakiso/Wakiso Town Council,Wakiso Town Council,Wakiso,88125000.0,45937500.0,160000000.0,360.0
Wakiso/Kira Division,Kira Division,Wakiso,141666666.66666666,105000000.0,200000000.0,713.0
Wakiso/Kajjansi Town Council,Kajjansi Town Council,Wakiso,155000000.0,112500000.0,240000000.0,314.0
Buikwe/Wakisi Division,Wakisi Division,Buikwe,,,,
Mukono/Ntunda,Ntunda,Mukono,,,,
Mpigi/Kammengo,Kammengo,Mpigi,,,,
