area,burden,median_income,median_rent,monthly_payment,rai,oai,agi_rent,agi_own,median_hh_rent_burden,median_hh_own_burden
GKMA,0.1,546925.551,900000.0,5151869.0564,6.077,1.0616,0.9994,1.0,1.6456,9.4197
GKMA,0.15,546925.551,900000.0,5151869.0564,9.1154,1.5924,0.9973,1.0,1.6456,9.4197
GKMA,0.2,546925.551,900000.0,5151869.0564,12.1539,2.1232,0.9927,1.0,1.6456,9.4197
GKMA,0.25,546925.551,900000.0,5151869.0564,15.1924,2.654,0.9853,1.0,1.6456,9.4197
GKMA,0.3,546925.551,900000.0,5151869.0564,18.2309,3.1848,0.9749,1.0,1.6456,9.4197
GKMA,0.35,546925.551,900000.0,5151869.0564,21.2693,3.7156,0.9619,0.9999,1.6456,9.4197
GKMA,0.4,546925.551,900000.0,5151869.0564,24.3078,4.2464,0.9465,0.9999,1.6456,9.4197
GKMA,0.45,546925.551,900000.0,5151869.0564,27.3463,4.7772,0.9292,0.9998,1.6456,9.4197
GKMA,0.5,546925.551,900000.0,5151869.0564,30.3848,5.308,0.9105,0.9997,1.6456,9.4197
GKMA,0.55,546925.551,900000.0,5151869.0564,33.4232,5.8388,0.8905,0.9995,1.6456,9.4197
GKMA,0.6,546925.551,900000.0,5151869.0564,36.4617,6.3696,0.8698,0.9993,1.6456,9.4197
GKMA,0.65,546925.551,900000.0,5151869.0564,39.5002,6.9004,0.8486,0.999,1.6456,9.4197
GKMA,0.7,546925.551,900000.0,5151869.0564,42.5387,7.4312,0.8271,0.9987,1.6456,9.4197
GKMA,0.75,546925.551,900000.0,5151869.0564,45.5771,7.962,0.8055,0.9984,1.6456,9.4197
GKMA,0.8,546925.551,900000.0,5151869.0564,48.6156,8.4928,0.784,0.9979,1.6456,9.4197
Kampala,0.1,870719.4287,1200000.0,10479120.8892,7.256,0.8309,1.0,1.0,1.3782,12.035
Mukono,0.1,406975.2742,350000.0,2301898.9401,11.6279,1.768,0.9897,1.0,0.86,5.6561
Wakiso,0.1,586520.1799,710000.0,4603797.8802,8.2608,1.274,0.9975,1.0,1.2105,7.8493
Kampala,0.15,870719.4287,1200000.0,10479120.8892,10.884,1.2464,0.9995,1.0,1.3782,12.035
Mukono,0.15,406975.2742,350000.0,2301898.9401,17.4418,2.652,0.9689,1.0,0.86,5.6561
Wakiso,0.15,586520.1799,710000.0,4603797.8802,12.3913,1.911,0.9906,1.0,1.2105,7.8493
Kampala,0.2,870719.4287,1200000.0,10479120.8892,14.512,1.6618,0.998,1.0,1.3782,12.035
Mukono,0.2,406975.2742,350000.0,2301898.9401,23.2557,3.536,0.9392,0.9999,0.86,5.6561
Wakiso,0.2,586520.1799,710000.0,4603797.8802,16.5217,2.548,0.9786,1.0,1.2105,7.8493
Kampala,0.25,870719.4287,1200000.0,10479120.8892,18.14,2.0773,0.9947,1.0,1.3782,12.035
Mukono,0.25,406975.2742,350000.0,2301898.9401,29.0697,4.42,0.904,0.9997,0.86,5.6561
Wakiso,0.25,586520.1799,710000.0,4603797.8802,20.6521,3.185,0.9618,0.9999,1.2105,7.8493
Kampala,0.3,870719.4287,1200000.0,10479120.8892,21.768,2.4927,0.9888,1.0,1.3782,12.035
Mukono,0.3,406975.2742,350000.0,2301898.9401,34.8836,5.304,0.8659,0.9993,0.86,5.6561
Wakiso,0.3,586520.1799,710000.0,4603797.8802,24.7825,3.822,0.9412,0.9999,1.2105,7.8493
Kampala,0.35,870719.4287,1200000.0,10479120.8892,25.396,2.9082,0.98,1.0,1.3782,12.035
