area,households,n_rent,n_sale,median_income,median_price,monthly_payment,own_income_needed,oai,oai_lo,oai_hi,agi_own,ri_own,ri_own_housing_induced,below_nonhousing_min,median_rent,rai,rai_lo,rai_hi,rent_income_needed,agi_rent,ri_rent,ri_rent_housing_induced,ri_rent_median_residual
Wakiso/Kiteezi,11160.0,0,6,667010.0955,,,,,,,,,,,,,,,,,,,
Kampala/Mpererwe,2739.0,6,9,945652.5985,,,,,,,,,,,,,,,,,,,
Kampala/Nakulabye,6875.0,2,0,770920.9784,,,,,,,,,,,,,,,,,,,
Wakiso/Nabweru North Ward,11416.0,0,0,559748.9463,,,,,,,,,,,,,,,,,,,
Buikwe/Bbinga,721.0,0,0,196275.3868,,,,,,,,,,,,,,,,,,,
Luwero/Kabulanaka,1425.0,0,0,259883.6431,,,,,,,,,,,,,,,,,,,
Mpigi/Kakoola,855.0,0,0,262901.3205,,,,,,,,,,,,,,,,,,,
Luwero/Kalwanga,616.0,0,0,197540.2753,,,,,,,,,,,,,,,,,,,
Wakiso/Nasse,1254.0,0,0,383722.1031,,,,,,,,,,,,,,,,,,,
Buikwe/Namulesa,2463.0,0,0,288667.383,,,,,,,,,,,,,,,,,,,
Wakiso/Ttikalu,1868.0,0,0,313803.1864,,,,,,,,,,,,,,,,,,,
Kampala/Ndeeba,7029.0,0,3,663637.9757,,,,,,,,,,,,,,,,,,,
Mukono/Namubiru,8232.0,0,0,542749.8362,,,,,,,,,,,,,,,,,,,
Wakiso/Bukalango Ward,780.0,0,0,469729.8696,,,,,,,,,,,,,,,,,,,
Luwero/Kanyanda,1546.0,0,2,272871.7902,,,,,,,,,,,,,,,,,,,
Buikwe/Ssugu,1757.0,0,0,234737.4214,,,,,,,,,,,,,,,,,,,
Wakiso/Mwererwe,1530.0,0,0,346089.7979,,,,,,,,,,,,,,,,,,,
Wakiso/Ssisa,1765.0,0,2,471803.1893,,,,,,,,,,,,,,,,,,,
Luwero/Nsavu,1075.0,0,0,225550.2081,,,,,,,,,,,,,,,,,,,
Wakiso/Mutungo,9887.0,13,80,685982.2181,750000000.0,8221067.6432,23488764.6948,2.9205,1.9912,5.4759,1.0,0.9985,0.8737,0.1249,,,,,,,,,
Wakiso/Kyampisi,719.0,0,0,272655.3845,,,,,,,,,,,,,,,,,,,
Wakiso/Kavumba Ward,3282.0,0,0,643720.8351,,,,,,,,,,,,,,,,,,,
Kampala/Makindye I,7139.0,34,47,821989.0049,750000000.0,8221067.6432,23488764.6948,3.4995,1.7497,3.864,1.0,0.9999,0.9887,0.0112,1200000.0,20.5497,16.4398,27.3996,4000000.0,0.9943,0.8015,0.7903,-574932.069
Luwero/Katagwe,796.0,0,0,161186.9975,,,,,,,,,,,,,,,,,,,
Kampala/Naguru I,195.0,0,0,772274.8737,,,,,,,,,,,,,,,,,,,
Mukono/Nanga,2622.0,0,0,298607.5081,,,,,,,,,,,,,,,,,,,
Kampala/Lungujja,7507.0,4,12,993393.4762,,,,,,,,,,,,,,,,,,,
