income_unit,units,rent_listings,census_households,households_cannot_afford,share_cannot_afford,median_income_units,median_rent_pooled,income_needed_at_30pct,scenario
Kampala,5,2151.0,479515.0,470198.34712596337,0.9805706747984179,870729.6294386773,2000000.0,6666666.666666667,all_rentals
Mukono,2,85.0,91726.0,73885.58505650796,0.805503184010073,648052.1650613317,450000.0,1500000.0,all_rentals
Wakiso,13,1174.0,579056.0,525934.9097349985,0.9082626028138876,665847.33616984,900000.0,3000000.0,all_rentals
Kampala,5,1133.0,479515.0,467079.63135714014,0.9740667786349544,870729.6294386773,1200000.0,4000000.0,beds_1_2
Mukono,2,70.0,91726.0,70257.88615257564,0.7659538860582129,648052.1650613317,350000.0,1166666.6666666667,beds_1_2
Wakiso,13,879.0,579056.0,502622.2929789771,0.8680029098722353,665847.33616984,730000.0,2433333.3333333335,beds_1_2
Kampala,5,1133.0,479515.0,474642.72859905876,0.9898391679072788,870729.6294386773,1200000.0,4000000.0,beds_1_2_sigma_lo
Mukono,2,70.0,91726.0,74915.27600069181,0.8167289100221509,648052.1650613317,350000.0,1166666.6666666667,beds_1_2_sigma_lo
Wakiso,13,879.0,579056.0,523738.70106396254,0.90446986312889,665847.33616984,730000.0,2433333.3333333335,beds_1_2_sigma_lo
Kampala,5,1133.0,479515.0,456510.0378578079,0.9520245203128325,870729.6294386773,1200000.0,4000000.0,beds_1_2_sigma_hi
Mukono,2,70.0,91726.0,66756.16083602152,0.7277779564793135,648052.1650613317,350000.0,1166666.6666666667,beds_1_2_sigma_hi
Wakiso,13,879.0,579056.0,482850.171525265,0.8338574706509646,665847.33616984,730000.0,2433333.3333333335,beds_1_2_sigma_hi
