scheme,fold,model,n_test,rmse_log,mae_log,r2,mape_ugx
spatial_block,0,HedonicOLS,682,0.8410882317603177,0.6707283341081143,0.5024634997332252,0.7145879772792134
spatial_block,0,RandomForest,682,0.7814599954270761,0.6070295653136965,0.5705077467170216,0.6420012394962877
spatial_block,0,XGBoost,682,0.7747225915756772,0.5915130508238722,0.577881608041804,0.59561807894386
spatial_block,0,LightGBM,682,0.7641518752609292,0.590887455188585,0.5893222250097551,0.6104507594046186
spatial_block,0,GWR,682,1.1076430920485019,0.8763935314277157,0.13713764780918436,1.0721971149559606
spatial_block,1,HedonicOLS,682,0.5321144948977693,0.36379814918519326,0.610769949793019,0.5005723136158465
spatial_block,1,RandomForest,682,0.5023354105577499,0.35275503178801154,0.6531163977723595,0.4408993633342789
spatial_block,1,XGBoost,682,0.48887750284579645,0.34300652037749185,0.6714539211577006,0.4335953916260361
spatial_block,1,LightGBM,682,0.47739986187886174,0.33453275443259817,0.6866997354438469,0.4085741352608455
spatial_block,1,GWR,682,1.4453289494538957,0.9614698610700066,-1.8716373056080253,4.446302516059367
spatial_block,2,HedonicOLS,682,0.7318140973606156,0.5116731336663722,0.4978847414172337,0.8982040305524246
spatial_block,2,RandomForest,682,0.6651235530953306,0.45799863480518105,0.5852307695101706,0.5485616327502735
spatial_block,2,XGBoost,682,0.669840390626445,0.45220434619041755,0.5793270960243995,0.6844780393840078
spatial_block,2,LightGBM,682,0.6347184088390836,0.4243001677022095,0.6222851449670882,0.636490530129063
spatial_block,2,GWR,682,1.1980985591735265,1.0265715464319851,-0.3458199701435589,1.740733999219014
spatial_block,3,HedonicOLS,682,0.675117713536337,0.4989771398386175,0.4975887342578281,0.5527581964497654
spatial_block,3,RandomForest,682,0.6059359803653809,0.4155980491400805,0.5952807642570039,0.5461858015108649
spatial_block,3,XGBoost,682,0.605628872422019,0.40784066151435266,0.595690909877756,0.5279379434319278
spatial_block,3,LightGBM,682,0.5778645721311958,0.3896776277870576,0.6319112857444251,0.492760732297689
spatial_block,3,GWR,682,1.0749498607957793,0.7972247996298887,-0.2737282429285779,0.948981110277826
spatial_block,4,HedonicOLS,681,0.7723390955818882,0.5458488905692497,0.6376951920713669,1.2168146339472727
spatial_block,4,RandomForest,681,0.7628253986963568,0.5502695740279926,0.6465659818316581,0.8400991805661729
spatial_block,4,XGBoost,681,0.7992609953288701,0.5746932967249727,0.6119968085180814,0.9260022269439581
spatial_block,4,LightGBM,681,0.7940367090081915,0.5732772502653989,0.6170525162536137,1.032405559748248
spatial_block,4,GWR,681,8.07300174414629,4.507522961875064,-38.58477232868184,3.362669743768987
random,0,HedonicOLS,682,0.6854332738697804,0.4532247544113805,0.65798356129057,1.3110735134893492
random,0,RandomForest,682,0.6151473498559852,0.39003625305329603,0.7245296067673728,0.7972038136723717
random,0,XGBoost,682,0.6226878721781381,0.3882034268097172,0.7177347410198794,0.7794359882819508
random,0,LightGBM,682,0.6241888744361465,0.38989494588362306,0.716372288157751,0.8345322578682606
random,0,GWR,682,0.7297602291749968,0.48449628428318336,0.6123167863370884,1.868429597900281
random,1,HedonicOLS,682,0.6252071037782522,0.42987450608645184,0.6984523147128143,0.5722297585108874
random,1,RandomForest,682,0.562446288088833,0.3656394910424934,0.7559547825875466,0.46880422638906016
random,1,XGBoost,682,0.5589745045815884,0.3630184722422288,0.7589582950007383,0.4792359474037997
random,1,LightGBM,682,0.5614329221588004,0.3608262082383124,0.7568333885128349,0.49382280841334647
random,1,GWR,682,0.6716079573289885,0.46872604021043507,0.6520315589820975,0.5865999628536394
random,2,HedonicOLS,682,0.6190449859704232,0.43601518280922147,0.7026325823707366,0.5817632848306094
random,2,RandomForest,682,0.5539369475768593,0.3634199229436151,0.7618943900508358,0.4585580706043108
random,2,XGBoost,682,0.557789207330279,0.35995446289479865,0.7585711451478209,0.49719127500439786
random,2,LightGBM,682,0.555809320880748,0.3578157909261163,0.7602820186196464,0.4986475573314199
random,2,GWR,682,0.6381347750271565,0.43564814166061705,0.684009675519442,0.7096989363955286
random,3,HedonicOLS,682,0.5880573378385442,0.42420739232715593,0.7224203913326785,0.49183990791872056
random,3,RandomForest,682,0.5211257668144481,0.34973154156869574,0.7820116387736837,0.3693626391926736
random,3,XGBoost,682,0.5114636610041308,0.34025412209981887,0.790020074151645,0.3648627509413234
random,3,LightGBM,682,0.5071994789503457,0.3398740037805207,0.7935067738310101,0.3615471443645055
random,3,GWR,682,0.6386427005245121,0.42544601541765475,0.6726109742623767,1.051845929391127
random,4,HedonicOLS,681,0.5387379536382879,0.3979870194447506,0.7589948460584485,0.48182177817201954
random,4,RandomForest,681,0.4698080646093622,0.3225790116057895,0.8167212473346194,0.37485828006988464
random,4,XGBoost,681,0.4782157475909867,0.3195301494790102,0.8101026378183172,0.38838208758569576
random,4,LightGBM,681,0.4814912242220903,0.3246556037482965,0.8074923743782484,0.393428430135711
random,4,GWR,681,0.5632153966242568,0.40520775154599203,0.7365972997696908,0.4703303146467609
