,,rmse_log,rmse_log,mae_log,mae_log,r2,r2,mape_ugx,mape_ugx
,,mean,std,mean,std,mean,std,mean,std
scheme,model,,,,,,,,
random,GWR,0.648,0.06,0.444,0.032,0.672,0.045,0.937,0.564
random,HedonicOLS,0.611,0.054,0.428,0.02,0.708,0.037,0.688,0.351
random,LightGBM,0.546,0.055,0.355,0.025,0.767,0.036,0.516,0.188
random,RandomForest,0.544,0.054,0.358,0.025,0.768,0.034,0.494,0.176
random,XGBoost,0.546,0.055,0.354,0.026,0.767,0.035,0.502,0.165
spatial_block,GWR,2.58,3.074,1.634,1.609,-8.188,17.01,2.314,1.531
spatial_block,HedonicOLS,0.71,0.117,0.518,0.11,0.549,0.069,0.777,0.291
spatial_block,LightGBM,0.65,0.131,0.463,0.114,0.629,0.036,0.636,0.24
spatial_block,RandomForest,0.664,0.115,0.477,0.102,0.61,0.037,0.604,0.15
spatial_block,XGBoost,0.668,0.127,0.474,0.107,0.607,0.038,0.634,0.188
