,,rmse_log,rmse_log,mae_log,mae_log,r2,r2,mape_ugx,mape_ugx
,,mean,std,mean,std,mean,std,mean,std
scheme,model,,,,,,,,
random,GWR,0.812,0.034,0.591,0.02,0.451,0.031,0.845,0.118
random,HedonicOLS,0.732,0.039,0.54,0.022,0.553,0.031,0.732,0.111
random,LightGBM,0.61,0.038,0.415,0.016,0.689,0.035,0.544,0.094
random,RandomForest,0.621,0.041,0.429,0.022,0.679,0.037,0.559,0.091
random,XGBoost,0.611,0.039,0.414,0.017,0.689,0.034,0.54,0.088
spatial_block,GWR,1.004,0.162,0.798,0.182,-0.033,0.765,0.986,0.177
spatial_block,HedonicOLS,0.787,0.087,0.584,0.074,0.448,0.096,0.787,0.169
spatial_block,LightGBM,0.681,0.075,0.502,0.067,0.591,0.037,0.595,0.106
spatial_block,RandomForest,0.704,0.058,0.522,0.043,0.558,0.07,0.647,0.109
spatial_block,XGBoost,0.682,0.074,0.502,0.059,0.589,0.04,0.591,0.104
