,coef,se,p
Intercept,13.338388530161788,0.6969734800201586,1.2283527650224818e-81
"C(ptype, Treatment(""house""))[T.apartment]",0.19178790081789243,0.06283198503355723,0.0022702477974076664
"C(ptype, Treatment(""house""))[T.land]",-0.28570954590874287,0.49145769750914214,0.5610037474387857
"C(ptype, Treatment(""house""))[T.room]",-0.49182082251121484,0.14154800576469365,0.0005116409352488198
C(source)[T.red],0.10626470215406876,0.05252927908660061,0.043077130882236546
C(source)[T.upc],0.0003423467151139892,0.094945740587168,0.9971230666603967
C(listing_quarter)[T.NaT],0.10660704886916253,0.07424126517771848,0.15101540359585275
bedrooms,0.7326633930488842,0.0633658984866542,6.387961396363671e-31
I(bedrooms ** 2),-0.04608310629233327,0.0065327168301551435,1.7359363347214533e-12
bathrooms,0.11851122709573349,0.0406031076114804,0.003514127724002557
f_self_contained,-0.022045965825985114,0.01940792042988564,0.2559874408422591
f_boys_quarters,-0.09371210538617655,0.07887746885199612,0.23480507848367604
f_gated,-0.1616837860415598,0.050744246779817696,0.001441306827450192
f_security,-0.1638387440099727,0.030406186417459326,7.111307549868333e-08
f_parking,0.17107116048882637,0.04055434868120265,2.461309490089796e-05
f_tarmac_access,-0.04023842548682048,0.04650831222784631,0.3869357068699687
f_pool,0.3219378779519095,0.06792700076546888,2.14279580830757e-06
f_furnished,0.463595985082272,0.07077856599953262,5.7556804328593785e-11
f_storeyed,0.12083230645409104,0.04910163217680198,0.013860393707950523
f_shell_or_incomplete,0.1889874971490344,0.09054391762855682,0.036865836187215076
np.log1p(dist_cbd_km),-0.3956759104507769,0.1628734366798243,0.015126094877716314
np.log1p(dist_major_road_km),0.09289418885618578,0.08282936609789698,0.26206967408167436
np.log1p(dist_northern_bypass_km),0.0002988031713971051,0.0705005995053782,0.9966183305520745
np.log1p(dist_entebbe_expressway_km),-0.15067041774578127,0.13400010986264732,0.26084117524254136
np.log1p(dist_school_km),-0.010180104469840079,0.2226188047101245,0.9635263597799054
np.log1p(dist_health_km),-0.05855412546322003,0.17998218202595487,0.7449291324092222
np.log1p(dist_market_km),0.37117699409064975,0.1571999973127263,0.01821704100988996
np.log1p(dist_taxi_stage_km),-0.2628398013659453,0.1718519302161429,0.1261516759002046
np.log1p(dist_wetland_km),0.003421248521921161,0.07910151682316735,0.9655011605663828
np.log1p(ntl_500m),-0.09417074104919554,0.1653856899816074,0.5690841869166163
wealth_index,0.2948380354726826,0.3439634109538291,0.3913462510361674
