,coef,se,p
Intercept,17.791612960235803,0.5908292485209334,3.2793321897060217e-199
"C(ptype, Treatment(""house""))[T.apartment]",0.9375229064035635,0.08271192872627775,8.823663351995929e-30
"C(ptype, Treatment(""house""))[T.room]",-0.207831640188898,0.6339046772788758,0.7430179331423841
"C(title_status, Treatment(""unknown""))[T.titled]",0.12018878842818537,0.054418137337763496,0.027201336414607927
C(source)[T.red],-0.032892585392492235,0.07175129139093829,0.64664713771192
C(source)[T.upc],0.10867933831638343,0.11917749397073926,0.3618152585683243
C(listing_quarter)[T.NaT],0.07578675292405859,0.07026592512700888,0.2807792447625439
bedrooms,0.056728671537062736,0.04146311328183673,0.1712582369340484
I(bedrooms ** 2),0.0010522797142114189,0.004847194021473827,0.8281378269026677
bathrooms,0.10193848101039693,0.017678176579131948,8.100871216260051e-09
np.log(plot_decimals),0.5107773153854397,0.04696591906299175,1.5084548672727344e-27
f_self_contained,0.0717248138689125,0.03343159612640901,0.03191928404457269
f_boys_quarters,0.08054407859663076,0.03204312803312998,0.011950090166857304
f_gated,0.03667849935147449,0.057726296218251115,0.5251764831027019
f_security,-0.0019045406746612537,0.023516907464121863,0.9354530725560555
f_parking,0.10945987481848474,0.03283334844961297,0.0008566769074517577
f_tarmac_access,-0.10829913315251236,0.0591951303721897,0.06732058742999697
f_pool,0.10194981206302967,0.12754752584374754,0.4241115945584494
f_furnished,0.09592082598480922,0.08569176104762992,0.2629821277547202
f_storeyed,0.42413457256998877,0.05334896575588003,1.8622121289228802e-15
f_shell_or_incomplete,-0.5446722727772102,0.05641529385732458,4.695692813413132e-22
np.log1p(dist_cbd_km),-0.1908815923370058,0.12697773096842035,0.13276988218574515
np.log1p(dist_major_road_km),0.1163418257019238,0.08658818658872136,0.1790705273821085
np.log1p(dist_northern_bypass_km),-0.022053795946301302,0.09329238529552476,0.8131266537015105
np.log1p(dist_entebbe_expressway_km),-0.22110148564588222,0.06484142737059405,0.000649914712072376
np.log1p(dist_school_km),-0.08522734494728157,0.1867917321330178,0.6481962908463932
np.log1p(dist_health_km),-0.23284550307517216,0.1622688391288055,0.15130515304127018
np.log1p(dist_market_km),0.27948836132112237,0.12310210476399953,0.02318463306872266
np.log1p(dist_taxi_stage_km),-0.061821019560939106,0.15473901544598265,0.6895115748893557
np.log1p(dist_wetland_km),-0.0999463773871132,0.08742375506008282,0.25293875155371937
np.log1p(ntl_500m),0.054616445022761695,0.14631913211094297,0.7089479975624753
wealth_index,0.5331215901411176,0.1463892916467242,0.0002707307061759909
