n_units,moran_I,expected_I,z,p_sim,weights,measure,level
67,0.3001362899343014,-0.015151515151515152,5.147997556149105,0.001,knn,rent_month_ugx,"neighbourhood points (n>=5), KNN k=6"
16,0.09448925893050791,-0.06666666666666667,1.7614589557750024,0.058,queen,rent_month_ugx,"sub-counties (n>=20), queen"
67,0.34354130782356457,-0.015151515151515152,6.040945814893069,0.001,knn,rent_per_bedroom,"neighbourhood points (n>=5), KNN k=6"
16,0.09888890742271132,-0.06666666666666667,1.8839779741100449,0.05,queen,rent_per_bedroom,"sub-counties (n>=20), queen"
85,0.42991846123455596,-0.011904761904761904,7.852973737794323,0.001,knn,price_ugx,"neighbourhood points (n>=5), KNN k=6"
22,0.26039528074927937,-0.047619047619047616,2.075769998242277,0.025,queen,price_ugx,"sub-counties (n>=20), queen"
84,0.4911596434066743,-0.012048192771084338,9.111555844099,0.001,knn,price_per_bedroom,"neighbourhood points (n>=5), KNN k=6"
22,0.13672486019968813,-0.047619047619047616,1.2396164827705236,0.122,queen,price_per_bedroom,"sub-counties (n>=20), queen"
84,0.4338366982556434,-0.012048192771084338,8.588867680492662,0.001,knn,price_per_decimal,"neighbourhood points (n>=5), KNN k=6"
23,0.31662567564674393,-0.045454545454545456,4.132477626765938,0.003,queen,price_per_decimal,"sub-counties (n>=20), queen"
