unit_id,unit_name,DName2016,median_rent,n_rent,median_price,n_sale,income_unit,median_monthly_income_ugx,households,income_log_sd,gini,survey_median_rent_ugx,cpi_uplift,unhs_subregion,source_note,income_source,rent_to_income,price_to_income,share_can_afford,share_cannot_afford,income_needed,affordability_gap_ugx,listing_vs_survey_rent,census_households,households_cannot_afford
Wakiso/Gombe Division,Gombe Division,Wakiso,100000.0,1.0,120000000.0,83.0,Wakiso,445456.5875443693,,0.8453604772951238,0.45,,1.2969,Buganda South,"Sub-region value (Buganda South also covers Masaka, Mpigi, Rakai etc.); replace with district estimate from microdata; Gini: district value from UBOS/UNICEF/World Bank Poverty Map report (Oct 2019), Wakiso 0.45, Mukono 0.44+",parish_model,,22.44887667982676,,,333333.3333333334,-112123.2542110359,,39211.0,
Wakiso/Nabweru Division,Nabweru Division,Wakiso,,,,,,,,,,,,,,,,,,,,,,64091.0,
Wakiso/Kasangati Town Council,Kasangati Town Council,Wakiso,450000.0,43.0,235000000.0,152.0,Wakiso,641581.6628347068,,0.8453604772951238,0.45,,1.2969,Buganda South,"Sub-region value (Buganda South also covers Masaka, Mpigi, Rakai etc.); replace with district estimate from microdata; Gini: district value from UBOS/UNICEF/World Bank Poverty Map report (Oct 2019), Wakiso 0.45, Mukono 0.44+",parish_model,0.7013916171041429,30.523524077680293,0.15753484061680534,0.8424651593831947,1500000.0,858418.3371652932,,73139.0,61617.05929212747
Wakiso/Ndejje Division,Ndejje Division,Wakiso,710000.0,23.0,670000000.0,127.0,Wakiso,687539.8922647095,,0.8453604772951238,0.45,,1.2969,Buganda South,"Sub-region value (Buganda South also covers Masaka, Mpigi, Rakai etc.); replace with district estimate from microdata; Gini: district value from UBOS/UNICEF/World Bank Poverty Map report (Oct 2019), Wakiso 0.45, Mukono 0.44+",parish_model,1.0326673520881944,81.20740914308571,0.07183804824213313,0.9281619517578669,2366666.666666667,1679126.7744019576,,37215.0,34541.54703466901
Wakiso/Division A,Division A,Wakiso,1000000.0,13.0,750000000.0,57.0,Wakiso,809422.7944584709,,0.8453604772951238,0.45,,1.2969,Buganda South,"Sub-region value (Buganda South also covers Masaka, Mpigi, Rakai etc.); replace with district estimate from microdata; Gini: district value from UBOS/UNICEF/World Bank Poverty Map report (Oct 2019), Wakiso 0.45, Mukono 0.44+",parish_model,1.2354482809803142,77.21551756126964,0.047033545236179974,0.95296645476382,3333333.3333333335,2523910.5388748627,,10581.0,10083.338057855979
Wakiso/Division B,Division B,Wakiso,,,,,,,,,,,,,,,,,,,,,,9395.0,
Wakiso/Kakiri,Kakiri,Wakiso,,,23000000.0,1.0,Wakiso,302505.50853865966,,0.8453604772951238,0.45,,1.2969,Buganda South,"Sub-region value (Buganda South also covers Masaka, Mpigi, Rakai etc.); replace with district estimate from microdata; Gini: district value from UBOS/UNICEF/World Bank Poverty Map report (Oct 2019), Wakiso 0.45, Mukono 0.44+",parish_model,,,,,,,,17825.0,
Wakiso/Kakiri Town Council,Kakiri Town Council,Wakiso,,,240000000.0,8.0,Wakiso,463831.64429814013,,0.8453604772951238,0.45,,1.2969,Buganda South,"Sub-region value (Buganda South also covers Masaka, Mpigi, Rakai etc.); replace with district estimate from microdata; Gini: district value from UBOS/UNICEF/World Bank Poverty Map report (Oct 2019), Wakiso 0.45, Mukono 0.44+",parish_model,,43.11909341645623,,,,,,8791.0,
Wakiso/Kasanje,Kasanje,Wakiso,150000.0,1.0,180000000.0,3.0,Wakiso,293526.44063901174,,0.8453604772951238,0.45,,1.2969,Buganda South,"Sub-region value (Buganda South also covers Masaka, Mpigi, Rakai etc.); replace with district estimate from microdata; Gini: district value from UBOS/UNICEF/World Bank Poverty Map report (Oct 2019), Wakiso 0.45, Mukono 0.44+",parish_model,,,,,500000.0,206473.55936098826,,13036.0,
Mukono/Nakisunga,Nakisunga,Mukono,,,300000000.0,3.0,Mukono,329443.2800721658,,0.8242623642969309,0.44,,1.2969,Buganda North,"Sub-region value (Buganda North also covers Kayunga, Mubende etc.); replace with district estimate from microdata; Gini: district value from UBOS/UNICEF/World Bank Poverty Map report (Oct 2019), Wakiso 0.45, Mukono 0.44+",parish_model,,,,,,,,23994.0,
