scenario,area,rai,oai,agi_rent,agi_own
base,GKMA,18.231,3.716,0.975,1.0
base,Buikwe,,,,
base,Kampala,21.768,2.908,0.989,1.0
base,Luwero,,,,
base,Mpigi,,,,
base,Mukono,34.884,6.188,0.866,0.999
base,Wakiso,24.783,4.459,0.941,1.0
rate_16,GKMA,18.231,4.182,0.975,1.0
rate_16,Buikwe,,,,
rate_16,Kampala,21.768,3.273,0.989,1.0
rate_16,Luwero,,,,
rate_16,Mpigi,,,,
rate_16,Mukono,34.884,6.965,0.866,0.998
rate_16,Wakiso,24.783,5.019,0.941,1.0
rate_22,GKMA,18.231,3.133,0.975,1.0
rate_22,Buikwe,,,,
rate_22,Kampala,21.768,2.452,0.989,1.0
rate_22,Luwero,,,,
rate_22,Mpigi,,,,
rate_22,Mukono,34.884,5.218,0.866,0.999
rate_22,Wakiso,24.783,3.76,0.941,1.0
deposit_20,GKMA,18.231,3.251,0.975,1.0
deposit_20,Buikwe,,,,
deposit_20,Kampala,21.768,2.545,0.989,1.0
deposit_20,Luwero,,,,
deposit_20,Mpigi,,,,
deposit_20,Mukono,34.884,5.414,0.866,0.999
deposit_20,Wakiso,24.783,3.902,0.941,1.0
deposit_50,GKMA,18.231,5.202,0.975,1.0
deposit_50,Buikwe,,,,
deposit_50,Kampala,21.768,4.071,0.989,1.0
deposit_50,Luwero,,,,
deposit_50,Mpigi,,,,
deposit_50,Mukono,34.884,8.663,0.866,0.996
deposit_50,Wakiso,24.783,6.243,0.941,0.999
term_15,GKMA,18.231,3.566,0.975,1.0
term_15,Buikwe,,,,
term_15,Kampala,21.768,2.791,0.989,1.0
term_15,Luwero,,,,
term_15,Mpigi,,,,
term_15,Mukono,34.884,5.939,0.866,0.999
term_15,Wakiso,24.783,4.28,0.941,1.0
term_25,GKMA,18.231,3.776,0.975,1.0
term_25,Buikwe,,,,
term_25,Kampala,21.768,2.955,0.989,1.0
term_25,Luwero,,,,
term_25,Mpigi,,,,
term_25,Mukono,34.884,6.288,0.866,0.999
term_25,Wakiso,24.783,4.531,0.941,1.0
cap_30,GKMA,18.231,3.185,0.975,1.0
cap_30,Buikwe,,,,
cap_30,Kampala,21.768,2.493,0.989,1.0
cap_30,Luwero,,,,
cap_30,Mpigi,,,,
cap_30,Mukono,34.884,5.304,0.866,0.999
cap_30,Wakiso,24.783,3.822,0.941,1.0
