area,households,n_rent,n_sale,median_income,median_price,monthly_payment,own_income_needed,oai,oai_lo,oai_hi,agi_own,ri_own,ri_own_housing_induced,below_nonhousing_min,median_rent,rai,rai_lo,rai_hi,rent_income_needed,agi_rent,ri_rent,ri_rent_housing_induced,ri_rent_median_residual
Wakiso/Gombe Division,39211.0,1,81,445451.369,120000000.0,1315370.8229,3758202.3512,11.8528,8.3667,18.9644,0.993,0.925,0.6849,0.2401,,,,,,,,,
Wakiso/Nabweru Division,64091.0,0,0,594995.1273,,,,,,,,,,,,,,,,,,,
Wakiso/Kasangati Town Council,73139.0,43,151,641574.1466,240000000.0,2630741.6458,7516404.7023,8.5357,7.3163,9.755,0.9981,0.9607,0.8305,0.1302,450000.0,42.7716,32.0787,48.1181,1500000.0,0.8404,0.5366,0.4064,-52492.8505
Wakiso/Ndejje Division,37215.0,23,126,687531.8377,670000000.0,7344153.7612,20983296.4607,3.2766,2.9271,5.1232,1.0,0.9976,0.8713,0.1264,710000.0,29.0506,20.626,34.3766,2366666.6667,0.9271,0.6567,0.5304,-281116.7242
Wakiso/Division A,10581.0,13,56,809413.312,750000000.0,8221067.6432,23488764.6948,3.446,2.7205,5.0775,1.0,0.9972,0.9193,0.078,,,,,,,,,
Wakiso/Division B,9395.0,0,0,565331.3813,,,,,,,,,,,,,,,,,,,
Wakiso/Kakiri,17825.0,0,1,302501.9647,,,,,,,,,,,,,,,,,,,
Wakiso/Kakiri Town Council,8791.0,0,8,463826.2105,,,,,,,,,,,,,,,,,,,
Wakiso/Kasanje,13036.0,1,3,293523.0019,,,,,,,,,,,,,,,,,,,
Mukono/Nakisunga,23994.0,0,3,329439.4206,,,,,,,,,,,,,,,,,,,
Mukono/Nagojje,11367.0,0,0,305635.137,,,,,,,,,,,,,,,,,,,
Mukono/Kyampisi,23279.0,0,6,380811.6783,,,,,,,,,,,,,,,,,,,
Wakiso/Masuliita,3984.0,0,0,241989.1276,,,,,,,,,,,,,,,,,,,
Wakiso/Masulita Town Council,4782.0,0,1,243670.0785,,,,,,,,,,,,,,,,,,,
Wakiso/Mende,15877.0,0,0,368631.0424,,,,,,,,,,,,,,,,,,,
Wakiso/Namayumba Town Council,6841.0,0,1,281420.7379,,,,,,,,,,,,,,,,,,,
Wakiso/Kyengera Town Council,74865.0,5,25,577118.3522,150000000.0,1644213.5286,4697752.939,12.285,7.0875,18.8036,0.993,0.9172,0.7655,0.1517,,,,,,,,,
