scheme,fold,model,n_test,rmse_log,mae_log,r2,mape_ugx
spatial_block,0,HedonicOLS,783,0.6845419182574182,0.4808521369469294,0.29688702543963597,0.6450555809777386
spatial_block,0,RandomForest,783,0.6110453445435754,0.4483278265406271,0.4397628600073794,0.4982168381676888
spatial_block,0,XGBoost,783,0.5644606651471031,0.4054057161151138,0.5219290182764111,0.45305648808415827
spatial_block,0,LightGBM,783,0.5623427195765996,0.3973533516651926,0.525509883330229,0.45460340008722216
spatial_block,0,GWR,783,1.2601057615866396,1.0928647717398614,-1.3825334769116502,0.8726374038508262
spatial_block,1,HedonicOLS,783,0.8399986351607771,0.6395340364054244,0.5072553118924958,0.8214639005270277
spatial_block,1,RandomForest,783,0.734952529902492,0.5568844567343012,0.622789851303116,0.6946688209747458
spatial_block,1,XGBoost,783,0.7377669487096485,0.5501626887212381,0.6198953513585526,0.6083233896562608
spatial_block,1,LightGBM,783,0.7570742768955789,0.5756313028917522,0.599740386943646,0.6333835864317013
spatial_block,1,GWR,783,0.9608046630328,0.7438662456364091,0.35533366046987835,0.9255953736240563
spatial_block,2,HedonicOLS,783,0.8238922067187877,0.6229574547045449,0.46333658022510693,0.8046749629191683
spatial_block,2,RandomForest,783,0.7435620325980341,0.5483588748825601,0.5628850946077972,0.763760799497589
spatial_block,2,XGBoost,783,0.699101828006073,0.50271083546446,0.6135955853758388,0.6825548633971358
spatial_block,2,LightGBM,783,0.6934952088920316,0.49463308729949734,0.6197684638084455,0.6956907558078365
spatial_block,2,GWR,783,1.0510756137319104,0.8365497313126566,0.12656794973519347,1.2929810731655
spatial_block,3,HedonicOLS,783,0.70510056333694,0.530318179025298,0.5474165238704358,0.6204474396686335
spatial_block,3,RandomForest,783,0.680994481845709,0.5222135595559604,0.5778335115529059,0.5704155382678128
spatial_block,3,XGBoost,783,0.6596725924308935,0.5049321672706694,0.603855663030433,0.5190614310033769
spatial_block,3,LightGBM,783,0.6620222410351213,0.5044844601898348,0.6010286313189017,0.5142194587688491
spatial_block,3,GWR,783,0.8982128487438136,0.6957434547047139,0.26556207152075717,0.8659995730989206
spatial_block,4,HedonicOLS,782,0.882602610088592,0.6443917270465686,0.42655281561167036,1.0417030916676955
spatial_block,4,RandomForest,782,0.7474523149855216,0.5342858205793133,0.5887271956796506,0.7101355815877743
spatial_block,4,XGBoost,782,0.7487103545121018,0.547173358493442,0.5873416013069875,0.6912044475763565
spatial_block,4,LightGBM,782,0.7296007040458926,0.5390515580954081,0.6081376860727296,0.6784471643236293
spatial_block,4,GWR,782,0.8484844930951265,0.6221319588569332,0.47003055798031845,0.9738159593460439
random,0,HedonicOLS,783,0.7373742311357859,0.5375506584317268,0.5413283931504957,0.6748839922853325
random,0,RandomForest,783,0.6381328014941845,0.44788083720895716,0.6564831204733679,0.5437886004767661
random,0,XGBoost,783,0.6275499571626841,0.43201477987031145,0.6677824640979035,0.5250683702345762
random,0,LightGBM,783,0.6274940009630039,0.43094234981638296,0.6678417065591016,0.5217092236626723
random,0,GWR,783,0.8132880891019361,0.5990648666762852,0.4420249650680239,0.7962014385611808
random,1,HedonicOLS,783,0.7009593127536334,0.5204527188407505,0.5469709893837315,0.6826935703728118
random,1,RandomForest,783,0.6068839650986696,0.4293899943701539,0.6604124814868417,0.5315625319225956
random,1,XGBoost,783,0.5955864794448388,0.4113746723313879,0.6729380256608579,0.49982301033172716
random,1,LightGBM,783,0.5979739654090082,0.4137533135137443,0.6703106290312182,0.5087156586086585
random,1,GWR,783,0.7875547355086977,0.5671464799344549,0.4281239771295092,0.7849419746386067
random,2,HedonicOLS,783,0.7979983539126625,0.5767069488150401,0.5100564158996965,0.9298529727500641
random,2,RandomForest,783,0.6827442423654722,0.4543328266495921,0.6413604535351093,0.7160135725211284
random,2,XGBoost,783,0.6706625202708588,0.431457305051167,0.6539409930998654,0.6941979546827407
random,2,LightGBM,783,0.6679918149784121,0.43112212000147415,0.6566916504886364,0.7087617249048612
random,2,GWR,783,0.8660819577867369,0.6146035940097304,0.42288805042700217,1.0569879669762219
random,3,HedonicOLS,783,0.7080505657878612,0.5279333606295822,0.5860803991933214,0.6827665471612729
random,3,RandomForest,783,0.5934920736394995,0.40548296418585467,0.7091846737917368,0.5255489378599496
random,3,XGBoost,783,0.5818189463992943,0.39903966178394035,0.7205120016763897,0.5114479525665816
random,3,LightGBM,783,0.5854573578048369,0.40102480805415036,0.7170055091464411,0.5147818954897636
random,3,GWR,783,0.7786078421414059,0.5734257442073205,0.49947590223301186,0.7920253590199323
random,4,HedonicOLS,782,0.7179885075912502,0.5361355158584635,0.5822101166645437,0.6899327134832892
random,4,RandomForest,782,0.5813448794501801,0.4093209124654546,0.7261008800517728,0.477903629441515
random,4,XGBoost,782,0.5778414033727511,0.39785465712428925,0.7293922395717318,0.4709816580854956
random,4,LightGBM,782,0.5714577124447543,0.3990073989532748,0.7353382800109383,0.4682952125630672
random,4,GWR,782,0.8142223753301837,0.5987057475889819,0.46270970058352734,0.7966989392781367
