area,frac,n_listings_mean,n_listings_std,rai_mean,rai_std,oai_mean,oai_std,agi_rent_mean,agi_rent_std
GKMA,0.5,5322.0,0.0,18.2896,0.2397,3.7589,0.115,0.9747,0.001
GKMA,0.6,6386.0,0.0,18.2309,0.0,3.7155,0.0812,0.9749,0.0
GKMA,0.7,7450.0,0.0,18.2309,0.0,3.7167,0.0733,0.9749,0.0
GKMA,0.8,8514.0,0.0,18.2309,0.0,3.7094,0.0818,0.9749,0.0
GKMA,0.9,9579.0,0.0,18.2309,0.0,3.7003,0.0409,0.9749,0.0
GKMA,1.0,10643.0,,18.2309,,3.7156,,0.9749,
Kampala,0.5,5322.0,0.0,22.5277,1.2115,2.9322,0.0997,0.987,0.0029
Kampala,0.6,6386.0,0.0,22.0224,0.8043,2.8972,0.076,0.9882,0.0019
Kampala,0.7,7450.0,0.0,22.1638,0.8121,2.8774,0.0783,0.9879,0.0018
Kampala,0.8,8514.0,0.0,21.9868,0.5601,2.8934,0.0525,0.9883,0.0012
Kampala,0.9,9579.0,0.0,21.8153,0.2116,2.868,0.0609,0.9887,0.0004
Kampala,1.0,10643.0,,21.768,,2.9082,,0.9888,
Mukono,0.5,5322.0,0.0,33.3753,3.8553,6.1874,0.3011,0.8756,0.0249
Mukono,0.6,6386.0,0.0,32.7284,4.045,6.2273,0.2516,0.8799,0.0264
Mukono,0.7,7450.0,0.0,33.6102,3.0764,6.1928,0.28,0.8742,0.0203
Mukono,0.8,8514.0,0.0,34.3361,2.4892,6.0713,0.2421,0.8695,0.0164
Mukono,0.9,9579.0,0.0,33.997,1.6565,6.0839,0.2195,0.8718,0.0109
Mukono,1.0,10643.0,,34.8836,,6.188,,0.8659,
Wakiso,0.5,5322.0,0.0,24.1954,0.8111,4.444,0.1506,0.9443,0.0043
Wakiso,0.6,6386.0,0.0,24.5556,0.772,4.4504,0.1656,0.9424,0.0041
Wakiso,0.7,7450.0,0.0,24.2634,0.8317,4.4487,0.107,0.9439,0.0044
Wakiso,0.8,8514.0,0.0,24.5118,0.7534,4.402,0.0876,0.9426,0.004
Wakiso,0.9,9579.0,0.0,24.5794,0.7418,4.4382,0.0426,0.9423,0.0039
Wakiso,1.0,10643.0,,24.7825,,4.459,,0.9412,
