analysis_unit,n,dominant_feature,location_effect,location_share
Kampala/Central Division,390,bedrooms,0.42212497183331404,0.3290405229316625
Kampala/Kawempe Division,215,bedrooms,-0.05603087399427961,0.2760581009557951
Kampala/Makindye Division,554,bedrooms,0.12637342883985664,0.2714961733689182
Kampala/Nakawa Division,937,bedrooms,0.22376527634223842,0.27238898077005763
Kampala/Rubaga Division,53,bedrooms,0.06643237339394892,0.18062472426327236
Mukono/Central Division,20,bedrooms,-0.8030866188346212,0.39854239403544567
Mukono/Goma Division,63,bedrooms,-0.7599871444481158,0.4492519890254266
Wakiso/Bunamwaya Division,32,bedrooms,0.05605954728077343,0.235195694832164
Wakiso/Bweyogerere Division,49,bedrooms,-0.5997051056533337,0.396744917969488
Wakiso/Division A,21,bedrooms,-0.10480450327282466,0.27944210449483814
Wakiso/Kajjansi Town Council,10,bedrooms,-0.23880977037412449,0.3347978929443641
Wakiso/Kasangati Town Council,56,bedrooms,-0.504251226373645,0.35470685419186443
Wakiso/Katabi  Town Council,21,bedrooms,0.09732772789341694,0.3479279498151991
Wakiso/Kira Division,425,bedrooms,-0.3394488609474382,0.3462282886044077
Wakiso/Kyengera Town Council,6,bedrooms,-0.5998717409579182,0.3722048813383927
Wakiso/Masajja Division,9,bedrooms,-0.19409620608289274,0.23999176974652234
Wakiso/Namugongo Division,436,bedrooms,-0.4224511531348191,0.3511114226394556
Wakiso/Nansana Division,7,bedrooms,-0.24207905710453875,0.23711800182871795
Wakiso/Ndejje Division,41,bedrooms,0.01753797417884071,0.27816092071855086
Wakiso/Wakiso Town Council,57,bedrooms,-0.2793595232672561,0.32411945671521236
