analysis_unit,n,dominant_feature,location_effect,location_share
Kampala/Central Division,169,bathrooms,0.2723847877819788,0.34117670100784864
Kampala/Kawempe Division,125,plot_decimals,0.02409975251229727,0.24115844719182628
Kampala/Makindye Division,257,bathrooms,0.38815504669803075,0.30076314748848915
Kampala/Nakawa Division,485,ptype_apartment,0.30068633312832954,0.27154835177259196
Kampala/Rubaga Division,63,plot_decimals,0.12856482148925683,0.27545244953305825
Luwero/Kalagala,6,plot_decimals,-0.5982590544337217,0.3762679817388018
Mpigi/Mpigi Town Council,9,plot_decimals,-0.3209130093982135,0.3003584411155926
Mukono/Central Division,132,plot_decimals,-0.34102738979119185,0.23518540055512302
Mukono/Goma Division,176,bathrooms,-0.31826136121872867,0.27212556386843856
Mukono/Kyampisi,6,plot_decimals,-0.46297349867516124,0.26869884742973565
Wakiso/Bunamwaya Division,43,plot_decimals,0.49566939819520617,0.27601735317816795
Wakiso/Busukuma Division,16,bathrooms,-0.3591522917375686,0.336819281967687
Wakiso/Bweyogerere Division,35,bathrooms,-0.22816057317100122,0.20587252300763836
Wakiso/Division A,57,bathrooms,0.03385554175558064,0.32584515635672456
Wakiso/Gombe Division,83,sh_computer,-0.4331528125860672,0.23074241267977233
Wakiso/Kajjansi Town Council,314,bathrooms,0.07014124508915182,0.27911822600736313
Wakiso/Kakiri Town Council,8,sh_computer,-0.4415713637174815,0.25695201859333894
Wakiso/Kasangati Town Council,152,bathrooms,-0.24716616886784576,0.24481004441699936
Wakiso/Katabi  Town Council,48,bathrooms,0.11891667196573288,0.31602049642835583
Wakiso/Kira Division,715,bathrooms,-0.10233290607573137,0.22474757968059494
Wakiso/Kyengera Town Council,25,sh_computer,-0.17783357229803115,0.2194965515242904
Wakiso/Masajja Division,32,sh_computer,0.0874074222662134,0.23532370712285405
Wakiso/Namugongo Division,364,plot_decimals,-0.13436627559938108,0.2284117466411795
Wakiso/Nansana Division,58,plot_decimals,-0.21233442070893,0.17110725469379767
Wakiso/Ndejje Division,127,bathrooms,0.07471653293955056,0.21893814888496266
Wakiso/Wakiso,30,bathrooms,-0.25686368993918063,0.23208445340658304
Wakiso/Wakiso Town Council,362,bathrooms,-0.1264766148382653,0.17467557437621895
