,mean_abs_shap
bedrooms,0.3719559715897764
bathrooms,0.2266384674032069
source,0.12253617114102125
dist_cbd_km,0.11421918435378116
f_furnished,0.09328406141775293
y_km,0.07383461652310623
ptype,0.06805852209606116
dist_entebbe_expressway_km,0.06608091817789899
x_km,0.042443470988228614
dist_taxi_stage_km,0.03383754651274327
sh_grid,0.031836788985843134
sh_computer,0.03178177241062323
ntl_500m,0.0241106099943177
f_water_tank,0.0233697739820382
n_school_1km,0.021090994383248754
dist_market_km,0.02053470749452131
n_market_1km,0.019910570517033252
f_apartment,0.01973061750609055
f_pool,0.019721103683362978
wealth_index,0.019032830423305343
f_parking,0.01896526338342315
dist_wetland_km,0.017133136052684333
hh_size,0.016129594956264114
dist_major_road_km,0.016098225789795736
n_postings,0.015148218787419836
dist_northern_bypass_km,0.015136256363855053
dist_health_km,0.013230777722600744
f_storeyed,0.012593517835003303
tenure_class,0.01170319323786614
dist_school_km,0.011606257252332518
f_security,0.010469914150896964
f_gated,0.010325442345028368
f_muzigo,0.009768114979241323
title_status,0.00924552287099052
f_bungalow,0.008324095216380887
f_self_contained,0.008031451392954433
f_tiled,0.007760218521680801
n_health_1km,0.007501921074688496
f_tarmac_access,0.007289745168187671
f_boys_quarters,0.0069987054014545875
n_taxi_stage_1km,0.00545553523598472
f_backup_power,0.005161103998096251
f_commercial_use,0.00406057236241773
f_lake_view,0.0028367275324105434
f_negotiable,0.0022943180141620934
near_wetland_200m,9.822727038721734e-05
f_mortgage_available,0.0
f_shell_or_incomplete,0.0
