,mean_abs_shap
bathrooms,0.23240583732402775
plot_decimals,0.2044405209027209
ptype,0.14534186200921642
bedrooms,0.1380068894175747
sh_computer,0.1293570852907804
y_km,0.07709427312388667
ntl_500m,0.07556512312630873
dist_cbd_km,0.06568704765698391
f_storeyed,0.044506739196395924
x_km,0.037979101599226836
f_apartment,0.03677259851475174
tenure_class,0.036752389701693325
f_shell_or_incomplete,0.03564511111666865
source,0.03158725866995207
f_boys_quarters,0.030165869211690944
f_bungalow,0.027274933994589978
dist_wetland_km,0.025529197751349993
sh_grid,0.021051743803985324
dist_entebbe_expressway_km,0.02014946312862676
f_parking,0.019913525417525193
hh_size,0.019890659777388787
dist_major_road_km,0.019669143803196117
wealth_index,0.019053324449913266
dist_school_km,0.017797532944819693
dist_market_km,0.016542847037782655
dist_northern_bypass_km,0.013457669396322541
n_market_1km,0.013187064824780968
title_status,0.012983179895611542
dist_taxi_stage_km,0.012349246382929523
dist_health_km,0.011709249693267044
f_self_contained,0.011573542635227998
f_tarmac_access,0.01134319387076765
f_muzigo,0.011332490574436364
f_water_tank,0.010592260369069708
f_security,0.01018160841980648
n_health_1km,0.009711020842077155
f_tiled,0.008685332985587978
f_negotiable,0.008229632023826584
n_school_1km,0.007415366052243152
f_gated,0.006970365644608376
f_pool,0.006677221787175087
f_furnished,0.005513674942040911
n_taxi_stage_1km,0.0050035725780937425
f_commercial_use,0.0031060638073531414
n_postings,0.002528347761233134
f_lake_view,0.002475592831335008
f_backup_power,0.002468978973518095
f_mortgage_available,0.0010894092415921484
near_wetland_200m,0.00014919204980734532
