market,spec,term,coef,se,p,n,points,r2_adj
rent,S1 base,ln_tt_expressway_min,-0.2508,0.1271,0.0485,3199,118,0.654
rent,S1 base,ln_tt_bypass_min,0.14,0.0774,0.0705,3199,118,0.654
rent,S1 base,ln_tt_cbd_min,-0.3824,0.127,0.0026,3199,118,0.654
rent,S2 + old Entebbe Road,ln_tt_expressway_min,0.1149,0.2459,0.6401,3199,118,0.6562
rent,S2 + old Entebbe Road,ln_tt_bypass_min,0.0154,0.1121,0.8905,3199,118,0.6562
rent,S2 + old Entebbe Road,ln_tt_cbd_min,-0.1777,0.1532,0.246,3199,118,0.6562
rent,S2 + old Entebbe Road,ln_dist_entebbe_road,-0.3146,0.173,0.069,3199,118,0.6562
rent,S3 + sector FE,ln_tt_expressway_min,-1.049,0.3838,0.0063,3199,118,0.6785
rent,S3 + sector FE,ln_tt_bypass_min,0.476,0.1483,0.0013,3199,118,0.6785
rent,S3 + sector FE,ln_tt_cbd_min,-0.3481,0.124,0.005,3199,118,0.6785
rent,S4 + sector FE + CBD-time bands,ln_tt_expressway_min,-0.6079,0.2691,0.0239,3199,118,0.7032
rent,S4 + sector FE + CBD-time bands,ln_tt_bypass_min,0.3963,0.1312,0.0025,3199,118,0.7032
rent,S4 + sector FE + CBD-time bands,ln_tt_cbd_min,0.2052,0.1607,0.2015,3199,118,0.7032
sale,S1 base,ln_tt_expressway_min,-0.3556,0.0467,0.0,2544,110,0.5936
sale,S1 base,ln_tt_bypass_min,0.0895,0.0895,0.3173,2544,110,0.5936
sale,S1 base,ln_tt_cbd_min,-0.2138,0.1386,0.1229,2544,110,0.5936
sale,S2 + old Entebbe Road,ln_tt_expressway_min,0.0009,0.1493,0.9951,2544,110,0.6001
sale,S2 + old Entebbe Road,ln_tt_bypass_min,-0.0735,0.0957,0.4423,2544,110,0.6001
sale,S2 + old Entebbe Road,ln_tt_cbd_min,-0.0057,0.1542,0.9706,2544,110,0.6001
sale,S2 + old Entebbe Road,ln_dist_entebbe_road,-0.3015,0.1225,0.0139,2544,110,0.6001
sale,S3 + sector FE,ln_tt_expressway_min,-0.2342,0.1044,0.0249,2544,110,0.6153
sale,S3 + sector FE,ln_tt_bypass_min,-0.0774,0.0914,0.3972,2544,110,0.6153
sale,S3 + sector FE,ln_tt_cbd_min,-0.1895,0.148,0.2002,2544,110,0.6153
sale,S4 + sector FE + CBD-time bands,ln_tt_expressway_min,-0.2998,0.1175,0.0107,2544,110,0.628
sale,S4 + sector FE + CBD-time bands,ln_tt_bypass_min,-0.0539,0.1315,0.6821,2544,110,0.628
sale,S4 + sector FE + CBD-time bands,ln_tt_cbd_min,0.2104,0.2062,0.3075,2544,110,0.628
