market,spec,term,coef,se,p,n,points,r2_adj
rent,S1 base,ln_tt_expressway_min,-0.2379,0.1301,0.0674,3199,118,0.6538
rent,S1 base,ln_tt_bypass_min,0.1544,0.0825,0.0613,3199,118,0.6538
rent,S1 base,ln_tt_cbd_min,-0.401,0.1313,0.0023,3199,118,0.6538
rent,S2 + old Entebbe Road,ln_tt_expressway_min,0.1508,0.2544,0.5535,3199,118,0.6564
rent,S2 + old Entebbe Road,ln_tt_bypass_min,0.0132,0.1193,0.9121,3199,118,0.6564
rent,S2 + old Entebbe Road,ln_tt_cbd_min,-0.1786,0.1535,0.2445,3199,118,0.6564
rent,S2 + old Entebbe Road,ln_dist_entebbe_road,-0.3314,0.1745,0.0575,3199,118,0.6564
rent,S3 + sector FE,ln_tt_expressway_min,-1.0518,0.4099,0.0103,3199,118,0.6784
rent,S3 + sector FE,ln_tt_bypass_min,0.5216,0.1619,0.0013,3199,118,0.6784
rent,S3 + sector FE,ln_tt_cbd_min,-0.3705,0.1288,0.004,3199,118,0.6784
rent,S4 + sector FE + CBD-time bands,ln_tt_expressway_min,-0.6212,0.2765,0.0247,3199,118,0.705
rent,S4 + sector FE + CBD-time bands,ln_tt_bypass_min,0.4395,0.136,0.0012,3199,118,0.705
rent,S4 + sector FE + CBD-time bands,ln_tt_cbd_min,0.2389,0.1688,0.157,3199,118,0.705
sale,S1 base,ln_tt_expressway_min,-0.3741,0.0508,0.0,2544,110,0.5937
sale,S1 base,ln_tt_bypass_min,0.1063,0.0954,0.2652,2544,110,0.5937
sale,S1 base,ln_tt_cbd_min,-0.2201,0.1421,0.1213,2544,110,0.5937
sale,S2 + old Entebbe Road,ln_tt_expressway_min,0.008,0.1658,0.9615,2544,110,0.6
sale,S2 + old Entebbe Road,ln_tt_bypass_min,-0.0726,0.1042,0.4856,2544,110,0.6
sale,S2 + old Entebbe Road,ln_tt_cbd_min,-0.0086,0.1582,0.9568,2544,110,0.6
sale,S2 + old Entebbe Road,ln_dist_entebbe_road,-0.3051,0.1286,0.0177,2544,110,0.6
sale,S3 + sector FE,ln_tt_expressway_min,-0.264,0.1248,0.0344,2544,110,0.6152
sale,S3 + sector FE,ln_tt_bypass_min,-0.0639,0.1037,0.5375,2544,110,0.6152
sale,S3 + sector FE,ln_tt_cbd_min,-0.1912,0.1521,0.2087,2544,110,0.6152
sale,S4 + sector FE + CBD-time bands,ln_tt_expressway_min,-0.3354,0.1361,0.0137,2544,110,0.628
sale,S4 + sector FE + CBD-time bands,ln_tt_bypass_min,-0.0381,0.1413,0.7873,2544,110,0.628
sale,S4 + sector FE + CBD-time bands,ln_tt_cbd_min,0.2323,0.2142,0.278,2544,110,0.628
