market,radial,coef_radial,p_radial,coef_expressway,p_expressway,n
rent,entebbe_road,-0.2407,0.1205,-0.0367,0.854,3199
rent,jinja_road,-0.1083,0.4347,-0.387,0.0263,3199
rent,bombo_road,-0.251,0.1102,-0.2333,0.0405,3199
rent,gayaza_road,-0.1005,0.2622,-0.2923,0.0133,3199
rent,hoima_road,-0.1012,0.6155,-0.2365,0.0511,3199
rent,masaka_road,0.0254,0.8955,-0.2827,0.0241,3199
rent,fortportal_road,-0.0356,0.885,-0.2547,0.0689,3199
sale,entebbe_road,-0.244,0.0245,-0.0542,0.4914,2544
sale,jinja_road,-0.0517,0.3425,-0.2666,0.0,2544
sale,bombo_road,0.169,0.0401,-0.2133,0.0,2544
sale,gayaza_road,0.0727,0.1072,-0.2164,0.0,2544
sale,hoima_road,0.1729,0.266,-0.2414,0.0,2544
sale,masaka_road,-0.0965,0.4139,-0.2258,0.0,2544
sale,fortportal_road,0.1649,0.0732,-0.2633,0.0,2544
