market,radial,coef_radial,p_radial,coef_expressway,p_expressway,n
rent,entebbe_road,-0.2479,0.1141,-0.0297,0.8822,3199
rent,jinja_road,-0.1109,0.4301,-0.3909,0.0273,3199
rent,bombo_road,-0.2557,0.1047,-0.2338,0.0408,3199
rent,gayaza_road,-0.1012,0.261,-0.2925,0.0138,3199
rent,hoima_road,-0.1064,0.5955,-0.235,0.0529,3199
rent,masaka_road,0.0268,0.8899,-0.2828,0.0245,3199
rent,fortportal_road,-0.0329,0.894,-0.2557,0.0692,3199
sale,entebbe_road,-0.2423,0.0253,-0.055,0.485,2544
sale,jinja_road,-0.0505,0.3521,-0.2656,0.0,2544
sale,bombo_road,0.1706,0.0368,-0.2123,0.0,2544
sale,gayaza_road,0.0734,0.1031,-0.2155,0.0,2544
sale,hoima_road,0.1798,0.241,-0.2406,0.0,2544
sale,masaka_road,-0.0932,0.4219,-0.2258,0.0,2544
sale,fortportal_road,0.1679,0.066,-0.263,0.0,2544
