pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (418366.493825 57629.290614),2,0,2,0.426,124.575,113.404,106.699,125.948,69.05,2924.127,836.024,1256.567,156.493,6012.883,1849.271,2749.637,354.645,10441.533,4248.39,5682.425,32.266,0.521
POINT (418718.815729 58389.759232),2,0,2,3.648,127.595,116.424,109.718,128.967,58.208,2368.378,704.745,1028.868,132.183,5328.873,1554.945,2320.898,298.345,9430.849,3566.74,4905.461,32.27,0.528
POINT (421221.187753 39299.230905),1,0,1,0.381,100.549,75.871,75.787,102.163,123.89,4412.56,2661.891,3146.335,322.823,9425.215,7165.512,8166.285,855.398,17397.168,14475.526,15893.138,32.292,0.356
POINT (423775.406089 24871.051059),189,1,188,4.012,104.401,81.803,81.424,106.156,284.068,8091.533,6553.383,8083.431,728.0,16129.884,16750.197,17186.23,1187.194,24764.873,23528.227,24523.753,32.315,0.225
POINT (423932.256383 56868.838079),1,0,1,9.681,121.349,110.178,103.473,122.722,56.965,2615.239,689.698,1109.749,201.973,6911.013,2445.376,3504.968,488.676,12263.044,5916.613,7410.022,32.316,0.514
POINT (426137.226227 57432.33803),2,0,2,12.137,127.96,116.788,110.083,129.332,29.674,1618.701,359.27,619.105,157.415,5837.144,1905.892,2815.561,373.614,10712.1,4523.506,5962.816,32.336,0.52
POINT (427051.763016 48629.63533),7,0,7,4.168,93.232,82.06,75.355,94.604,302.111,6496.306,3657.785,4636.391,786.377,16552.537,9521.01,12226.83,1577.954,31580.36,19665.475,25212.211,32.344,0.44
POINT (430964.130319 26691.377599),4,0,4,1.434,77.293,54.695,54.316,79.048,853.468,15174.805,17611.628,17797.476,1885.618,34680.187,32664.668,35977.633,4143.539,71115.887,71721.7,72434.835,32.38,0.241
POINT (431438.252262 66132.668258),5,0,5,2.467,123.163,119.669,109.779,124.535,124.452,3668.78,3222.592,2524.988,308.887,6168.878,6682.449,4574.177,540.942,11086.656,10772.86,9005.57,32.384,0.598
POINT (431652.022546 45615.080768),186,0,186,0.904,78.337,67.166,60.461,79.71,726.354,13140.578,8911.879,11191.174,1570.117,29849.109,20198.249,25647.718,3379.306,63349.693,44136.648,55763.339,32.386,0.413
POINT (432601.90834 15154.522054),94,6,88,3.436,101.534,76.992,86.811,103.288,135.44,4104.316,1639.825,2271.198,334.719,8507.328,4798.383,5967.215,983.466,21029.799,15164.663,18040.884,32.394,0.137
POINT (433058.756186 30055.228777),2,1,1,8.414,75.316,52.717,52.338,77.07,698.76,10369.88,13342.433,12724.403,1831.861,30761.849,29400.744,32593.377,4510.5,76663.379,80839.932,79195.431,32.398,0.272
POINT (433945.581464 36153.7048),4,0,4,2.286,64.898,40.22,40.136,66.513,1155.857,17470.059,16678.97,18647.772,3518.3,55408.548,53135.446,55924.418,11184.206,314037.526,305554.55,308266.927,32.406,0.327
POINT (434120.805144 36024.433625),1,0,1,2.551,65.009,40.331,40.247,66.624,1120.932,17164.245,16185.544,18254.842,3472.428,54308.092,52125.829,54880.256,11101.894,310943.449,303080.882,305542.243,32.408,0.326
POINT (438814.412468 36495.401268),73,5,68,4.105,53.421,28.743,28.659,55.036,1995.189,29231.437,26524.05,29798.184,7750.721,164890.964,177629.949,168313.057,22057.915,880246.802,899351.494,895562.411,32.45,0.33
POINT (439339.321043 29993.69698),77,10,67,1.01,48.517,25.919,25.539,50.271,2381.539,34381.77,36236.908,35564.688,10129.313,297133.676,296015.311,294433.01,23661.257,937268.771,947290.327,949632.577,32.455,0.271
POINT (439505.341923 20108.695205),3,0,3,3.552,70.939,46.397,56.216,72.693,604.059,9089.259,7313.603,8251.92,1987.301,24951.281,24076.517,24520.231,7345.686,97099.51,117377.484,103632.052,32.456,0.182
POINT (439542.279963 43797.543272),1,0,1,2.877,55.583,44.412,37.706,56.955,1689.198,28403.054,20451.852,26464.654,5003.898,91870.438,82291.015,87473.741,16296.72,756886.448,763114.149,764004.588,32.457,0.396
POINT (440163.075142 5617.761837),6,2,4,1.93,68.008,22.431,43.46,69.38,1944.5,18117.097,23542.895,19206.307,4556.108,37100.609,55847.061,41467.908,11875.689,192096.211,234348.461,202634.34,32.462,0.051
POINT (440335.995092 5877.70537),2,0,2,1.128,66.751,21.174,42.203,68.123,2047.496,18974.324,24789.918,20129.042,4936.321,41775.329,62520.201,46892.941,12800.661,231418.164,267366.446,239364.303,32.464,0.053
POINT (440858.504972 107853.084098),1,0,1,168.457,319.876,316.381,306.492,321.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.468,0.976
POINT (441023.454985 6632.088445),629,124,505,0.998,63.44,17.843,38.87,64.812,2349.145,21701.201,28442.108,23210.673,5876.304,49807.169,78985.706,56918.598,15776.181,407374.565,434576.388,413233.631,32.47,0.06
POINT (441024.996878 46424.627225),19,0,19,3.091,56.201,45.029,38.324,57.573,1501.954,25158.78,18184.807,23490.977,4272.112,76946.021,69787.731,73456.534,15626.406,737467.252,741099.439,742413.723,32.47,0.42
POINT (441534.161907 3982.802166),2,2,0,6.843,75.6,30.023,51.071,76.972,1222.82,11246.172,14805.208,11842.396,3004.433,24848.113,36375.97,27145.574,7119.303,69056.296,104299.394,76722.129,32.475,0.036
POINT (441746.611031 40583.769163),2,0,2,2.471,51.03,33.036,30.226,52.403,2048.156,33271.877,25082.199,31682.738,7868.419,191574.151,190314.485,187993.371,22181.22,905741.6,904425.776,912333.68,32.476,0.367
POINT (442351.683585 32227.959293),4,0,4,4.922,39.731,17.132,16.753,41.485,4208.804,88852.605,97347.612,89687.67,18170.085,762880.763,795011.05,780397.261,30001.718,1067794.765,1073284.201,1080428.804,32.482,0.292
POINT (442850.985409 45484.961434),2470,210,2260,0.653,51.253,40.082,33.377,52.625,1968.367,33737.173,23831.863,31201.371,6793.362,160545.476,148084.444,153182.95,19406.114,858962.646,853964.185,863403.182,32.486,0.412
POINT (443336.462628 36809.454158),1,1,0,0.097,36.069,11.392,11.307,37.684,7386.0,194771.508,204703.651,195903.152,22260.848,905269.539,913704.109,915259.887,33826.593,1130870.858,1134878.066,1143184.621,32.491,0.333
POINT (443448.243544 35341.474397),2,0,2,5.216,38.068,13.39,13.306,39.683,5542.401,135201.558,151229.379,138379.327,20391.99,856575.705,875896.476,870605.515,32156.838,1102088.889,1106427.117,1113623.491,32.492,0.32
POINT (443484.867568 55637.513681),124,0,124,8.803,79.431,75.936,66.047,80.803,409.67,6054.036,4960.054,5871.112,1370.002,19979.805,16685.061,19567.865,3336.029,59744.574,46042.536,56736.255,32.492,0.503
POINT (444816.565571 32882.826391),37,3,34,0.739,28.828,6.229,5.85,30.582,13160.187,560313.256,571803.109,562517.385,26282.776,997738.923,1002749.09,1006985.589,35871.99,1156313.36,1168404.476,1170627.391,32.504,0.297
POINT (445060.082982 35615.4898),26,2,24,0.899,30.635,5.957,5.872,32.249,12531.041,541370.932,549156.304,541409.575,25989.849,993059.673,992399.796,999739.882,35905.873,1155465.686,1167512.452,1170006.206,32.506,0.322
POINT (445252.239846 17132.793477),17,0,17,1.856,42.905,5.891,17.985,44.277,6676.437,77009.058,109761.52,85249.091,20676.926,748615.457,797484.267,770362.097,31065.304,1070930.02,1086063.768,1081127.732,32.508,0.155
POINT (445581.471328 8120.940339),93,3,90,0.174,59.838,14.261,35.386,61.21,2454.316,21958.102,29715.456,24635.475,7132.659,71138.007,106278.886,79448.135,18972.485,645551.31,690987.104,660879.405,32.511,0.073
POINT (445956.984863 36521.767507),2,0,2,0.952,28.68,9.029,7.875,30.052,12348.794,606024.499,631848.175,617742.314,25858.29,997279.855,990025.148,1001563.425,36142.671,1157639.933,1169511.175,1172987.905,32.514,0.33
POINT (446649.154217 50349.326633),423,2,421,2.479,56.928,53.434,43.544,58.3,1727.756,27366.81,20918.69,26112.167,5099.068,110259.358,83935.357,103376.79,15318.759,685157.931,695978.356,699461.406,32.521,0.456
POINT (446824.732749 22043.779855),692,12,680,0.835,46.747,15.657,25.476,48.481,4117.291,30639.63,56003.456,39169.783,13831.787,355528.741,362911.502,354180.277,27364.045,1004266.36,1020493.29,1012657.132,32.522,0.199
POINT (446835.205866 34376.050944),2,0,2,0.318,25.368,5.748,5.212,27.122,13178.847,608453.698,644541.867,624132.728,26305.188,1006610.566,1006587.882,1014226.13,35935.823,1154567.782,1168576.048,1169000.943,32.522,0.311
