pt,n_listings,n_rent,n_sale,access_min,tt_cbd_min,tt_expressway_min,tt_bypass_min,tt_rail_min,acc_ntl_30,acc_jobs_30_bld,acc_jobs_30_ntl,acc_jobs_30_mix,acc_ntl_45,acc_jobs_45_bld,acc_jobs_45_ntl,acc_jobs_45_mix,acc_ntl_60,acc_jobs_60_bld,acc_jobs_60_ntl,acc_jobs_60_mix,lon,lat
POINT (418366.493825 57629.290614),1,0,1,0.426,96.002,87.332,82.174,96.981,101.654,4225.025,1208.909,1811.741,314.795,9453.034,3765.91,5144.233,962.379,20649.492,11207.723,14209.221,32.266,0.521
POINT (418718.815729 58389.759232),1,0,1,3.648,99.068,90.398,85.241,100.047,84.255,3457.673,1020.11,1540.979,245.515,8131.584,2927.1,4187.157,820.01,17956.231,9311.496,11940.008,32.27,0.528
POINT (423775.406089 24871.051059),83,0,83,4.012,81.311,63.851,63.559,82.584,420.994,10892.045,9697.045,11119.626,1083.772,22472.417,22121.077,22795.001,2522.107,47929.572,41201.887,46105.121,32.315,0.225
POINT (426137.226227 57432.33803),1,0,1,12.137,101.308,92.638,87.48,102.287,58.421,2628.935,707.328,1168.991,261.46,8094.755,3165.603,4337.235,745.809,16704.318,9249.48,11242.055,32.336,0.52
POINT (427051.763016 48629.63533),3,0,3,4.168,72.755,64.085,58.927,73.734,475.984,9801.407,5762.943,7251.966,1341.649,27423.883,16653.403,21457.888,3439.882,63910.502,45233.784,55753.286,32.344,0.44
POINT (430964.130319 26691.377599),1,0,1,1.434,59.864,42.404,42.112,61.137,1242.266,22952.732,23505.936,25200.051,3630.952,60976.311,60882.601,63047.415,14839.883,559021.641,546524.1,553522.592,32.38,0.241
POINT (431438.252262 66132.668258),2,0,2,2.467,95.386,92.622,85.015,96.365,204.75,4419.672,4715.789,3201.872,465.301,9546.324,9576.949,7702.567,974.361,21237.945,17606.703,17619.666,32.384,0.598
POINT (431652.022546 45615.080768),83,0,83,0.904,60.544,51.875,46.717,61.524,1083.084,20505.668,13634.997,17461.95,2989.272,56745.383,39144.953,49935.688,12697.449,493337.158,501235.098,494452.078,32.386,0.413
POINT (432601.90834 15154.522054),39,3,36,3.436,78.972,60.017,67.57,80.245,187.56,5360.617,2375.387,3064.463,743.213,17084.29,11494.334,14062.92,2911.672,44466.5,43258.162,43882.73,32.394,0.137
POINT (438814.412468 36495.401268),26,1,25,4.105,42.117,23.058,22.993,43.283,3783.925,62943.068,65380.454,63102.703,19490.095,795449.723,823089.932,813368.823,34057.712,1141492.606,1137573.096,1150995.958,32.45,0.33
POINT (439339.321043 29993.69698),31,5,26,1.01,37.63,20.17,19.879,38.903,5273.045,100951.37,113297.134,104398.987,21940.617,890093.179,908420.434,905765.71,35235.423,1158322.881,1162957.807,1170634.147,32.455,0.271
POINT (440163.075142 5617.761837),3,1,2,1.93,52.836,17.7,33.876,53.815,2856.381,24948.407,34583.435,26773.243,9962.442,135118.75,177576.763,145279.247,26242.637,958562.285,986051.684,972450.459,32.462,0.051
POINT (440335.995092 5877.70537),1,0,1,1.128,51.683,16.548,32.724,52.663,3250.479,27713.36,39354.949,30236.403,11132.398,171118.038,214537.918,181766.257,27178.18,990134.936,1009283.394,999015.734,32.464,0.053
